CLUSTER: 2
Dataset total: 5461, test: 1084, final_val: 1109, tv: 3268

====================================================
                SEARCH ITERATION: 0 
====================================================


=====| CV SET: 0

Training points: 2233, validation points 1035
EPOCH    LR        TRAIN     VALID         MSE:T/V              RL:T/V         %NR_t/%NR_v
=============================================================================================
  1   1.000e-05   0.03942   0.04137   0.03942 / 0.04137   0.00000 / 0.00000   0.99% / 3.38%
 10   9.135e-06   0.03939   0.04134   0.03939 / 0.04134   0.00000 / 0.00000   0.99% / 3.38%
 20   8.262e-06   0.03936   0.04131   0.03936 / 0.04131   0.00000 / 0.00000   0.99% / 3.38%
 30   7.472e-06   0.03933   0.04128   0.03933 / 0.04128   0.00000 / 0.00000   0.99% / 3.38%
 40   6.757e-06   0.03930   0.04125   0.03930 / 0.04125   0.00000 / 0.00000   0.99% / 3.38%
 50   6.111e-06   0.03927   0.04122   0.03927 / 0.04121   0.00000 / 0.00000   2.51% / 6.09%
 60   5.527e-06   0.03924   0.04119   0.03924 / 0.04119   0.00000 / 0.00000   2.91% / 6.67%
 70   4.998e-06   0.03922   0.04117   0.03922 / 0.04117   0.00000 / 0.00000   2.96% / 6.86%
 80   4.520e-06   0.03920   0.04115   0.03920 / 0.04115   0.00000 / 0.00000   2.96% / 6.96%
 90   4.088e-06   0.03918   0.04113   0.03918 / 0.04113   0.00000 / 0.00001   2.82% / 6.96%
100   3.697e-06   0.03916   0.04111   0.03916 / 0.04110   0.00000 / 0.00001   2.82% / 7.05%
110   3.344e-06   0.03914   0.04109   0.03913 / 0.04108   0.00000 / 0.00001   2.69% / 6.96%
120   3.024e-06   0.03911   0.04107   0.03911 / 0.04106   0.00000 / 0.00001   2.64% / 6.86%
130   2.735e-06   0.03909   0.04104   0.03909 / 0.04104   0.00000 / 0.00001   2.55% / 6.67%
140   2.473e-06   0.03907   0.04102   0.03907 / 0.04102   0.00000 / 0.00001   2.55% / 6.76%
150   2.237e-06   0.03905   0.04100   0.03904 / 0.04099   0.00000 / 0.00001   2.46% / 6.76%
160   2.023e-06   0.03903   0.04098   0.03902 / 0.04097   0.00000 / 0.00001   2.42% / 6.67%
170   1.830e-06   0.03900   0.04096   0.03900 / 0.04095   0.00000 / 0.00001   2.33% / 6.47%
180   1.655e-06   0.03898   0.04094   0.03898 / 0.04093   0.00000 / 0.00001   2.37% / 6.57%
190   1.496e-06   0.03897   0.04092   0.03896 / 0.04092   0.00000 / 0.00001   2.28% / 6.57%
200   1.353e-06   0.03895   0.04091   0.03895 / 0.04090   0.00000 / 0.00001   2.28% / 6.38%
210   1.224e-06   0.03893   0.04089   0.03893 / 0.04088   0.00000 / 0.00001   2.24% / 6.47%
220   1.107e-06   0.03892   0.04088   0.03892 / 0.04087   0.00000 / 0.00001   2.24% / 6.28%
