=====> WARNING: Training dataset length: 0, assuming memorization test!
========== Dataset info ==========
Dataset params: {'file': '/home/ryley/WDK/ML/dataset/turbulence_dataset_clean.csv', 'Cases': ['squareDuctAve_Re_2000'], 'val_set': ['squareDuctAve_Re_2000'], 'test_set': ['squareDuctAve_Re_2000'], 'data_loader': <class 'tbnn.dataloaders.aDataset'>}
Train/Valid/Test points: 9216 / 9216 / 9216
Memorization?: True
Cluster training?: False
EPOCH     LR        TRAIN         VALID             MSE:T/V                  RL:T/V             %NR_t/%NR_v
===============================================================================================================
  1   1.000E-04   4.6750E+05   4.6750E+05   4.6750E+05 / 4.6750E+05   0.0000E+00 / 0.0000E+00   0.00% / 0.00%
 10   1.000E-04   2.8344E+05   2.8344E+05   2.8344E+05 / 2.8344E+05   0.0000E+00 / 0.0000E+00   0.00% / 0.00%
 20   1.000E-04   9.4065E+04   9.4065E+04   9.4065E+04 / 9.4065E+04   2.4050E-05 / 2.4050E-05   9.03% / 9.03%
 30   1.000E-04   6.2785E+04   6.2785E+04   6.2785E+04 / 6.2785E+04   1.8217E-04 / 1.8217E-04   17.38% / 17.38%
 40   1.000E-04   5.1173E+04   5.1173E+04   5.1173E+04 / 5.1173E+04   3.3217E-04 / 3.3217E-04   18.73% / 18.73%
 50   1.000E-04   4.4162E+04   4.4162E+04   4.4162E+04 / 4.4162E+04   5.2414E-04 / 5.2414E-04   19.26% / 19.26%
 60   1.000E-04   3.9082E+04   3.9082E+04   3.9082E+04 / 3.9082E+04   8.2173E-04 / 8.2173E-04   20.62% / 20.62%
 70   1.000E-04   3.4501E+04   3.4501E+04   3.4501E+04 / 3.4501E+04   1.1039E-03 / 1.1039E-03   21.30% / 21.30%
 80   1.000E-04   3.2741E+04   3.2741E+04   3.2741E+04 / 3.2741E+04   1.1765E-03 / 1.1765E-03   21.40% / 21.40%
 90   1.000E-04   2.9694E+04   2.9694E+04   2.9694E+04 / 2.9694E+04   1.4941E-03 / 1.4941E-03   22.55% / 22.55%
100   1.000E-04   2.7997E+04   2.7997E+04   2.7997E+04 / 2.7997E+04   1.5684E-03 / 1.5684E-03   23.21% / 23.21%
110   1.000E-04   2.5264E+04   2.5264E+04   2.5264E+04 / 2.5264E+04   2.0110E-03 / 2.0110E-03   24.47% / 24.47%
120   1.000E-04   2.3340E+04   2.3340E+04   2.3340E+04 / 2.3340E+04   2.0332E-03 / 2.0332E-03   24.75% / 24.75%
130   1.000E-04   2.3640E+04   2.3640E+04   2.3640E+04 / 2.3640E+04   2.2302E-03 / 2.2302E-03   25.79% / 25.79%
140   1.000E-04   2.3519E+04   2.3519E+04   2.3519E+04 / 2.3519E+04   1.9398E-03 / 1.9398E-03   24.53% / 24.53%
150   1.000E-04   1.9465E+04   1.9465E+04   1.9465E+04 / 1.9465E+04   2.1442E-03 / 2.1442E-03   25.44% / 25.44%
160   1.000E-04   1.9487E+04   1.9487E+04   1.9487E+04 / 1.9487E+04   2.2103E-03 / 2.2103E-03   25.93% / 25.93%
170   1.000E-04   1.6451E+04   1.6451E+04   1.6451E+04 / 1.6451E+04   2.6217E-03 / 2.6217E-03   27.48% / 27.48%
180   1.000E-04   1.6056E+04   1.6056E+04   1.6056E+04 / 1.6056E+04   2.8311E-03 / 2.8311E-03   28.36% / 28.36%
190   1.000E-04   1.5156E+04   1.5156E+04   1.5156E+04 / 1.5156E+04   3.0826E-03 / 3.0826E-03   28.47% / 28.47%
200   1.000E-04   1.3985E+04   1.3985E+04   1.3985E+04 / 1.3985E+04   3.1867E-03 / 3.1867E-03   28.62% / 28.62%
210   1.000E-04   1.3631E+04   1.3631E+04   1.3631E+04 / 1.3631E+04   3.4250E-03 / 3.4250E-03   29.20% / 29.20%
220   1.000E-04   1.2783E+04   1.2783E+04   1.2783E+04 / 1.2783E+04   3.3285E-03 / 3.3285E-03   29.00% / 29.00%
230   1.000E-04   1.2263E+04   1.2263E+04   1.2263E+04 / 1.2263E+04   3.4998E-03 / 3.4998E-03   29.25% / 29.25%
240   1.000E-04   1.1698E+04   1.1698E+04   1.1698E+04 / 1.1698E+04   3.7438E-03 / 3.7438E-03   29.09% / 29.09%
250   1.000E-04   1.1267E+04   1.1267E+04   1.1267E+04 / 1.1267E+04   4.1262E-03 / 4.1262E-03   29.83% / 29.83%
260   1.000E-04   1.1059E+04   1.1059E+04   1.1059E+04 / 1.1059E+04   4.2091E-03 / 4.2091E-03   29.88% / 29.88%
270   1.000E-04   1.0651E+04   1.0651E+04   1.0651E+04 / 1.0651E+04   4.4283E-03 / 4.4283E-03   30.40% / 30.40%
280   1.000E-04   1.0946E+04   1.0946E+04   1.0946E+04 / 1.0946E+04   4.8696E-03 / 4.8696E-03   30.79% / 30.79%
290   1.000E-04   9.6529E+03   9.6529E+03   9.6529E+03 / 9.6529E+03   4.8151E-03 / 4.8151E-03   30.44% / 30.44%
300   1.000E-04   9.4335E+03   9.4335E+03   9.4335E+03 / 9.4335E+03   5.1952E-03 / 5.1952E-03   30.62% / 30.62%
310   1.000E-04   9.4147E+03   9.4147E+03   9.4147E+03 / 9.4147E+03   5.3654E-03 / 5.3654E-03   30.86% / 30.86%
320   1.000E-04   8.8615E+03   8.8615E+03   8.8615E+03 / 8.8615E+03   5.5502E-03 / 5.5502E-03   31.24% / 31.24%
330   1.000E-04   8.5531E+03   8.5531E+03   8.5531E+03 / 8.5531E+03   5.8789E-03 / 5.8789E-03   31.39% / 31.39%
340   1.000E-04   8.3406E+03   8.3406E+03   8.3406E+03 / 8.3406E+03   6.0217E-03 / 6.0217E-03   31.59% / 31.59%
350   1.000E-04   8.2612E+03   8.2612E+03   8.2612E+03 / 8.2612E+03   6.0411E-03 / 6.0411E-03   31.75% / 31.75%
360   1.000E-04   1.2512E+04   1.2512E+04   1.2512E+04 / 1.2512E+04   5.9169E-03 / 5.9169E-03   31.38% / 31.38%
