=====> WARNING: Training dataset length: 0, assuming memorization test!
========== Dataset info ==========
Dataset params: {'file': '/home/ryley/WDK/ML/dataset/turbulence_dataset_clean.csv', 'Cases': ['fp_2540'], 'val_set': ['fp_2540'], 'test_set': ['fp_2540'], 'data_loader': <class 'tbnn.dataloaders.aDataset'>}
Train/Valid/Test points: 155 / 155 / 155
Memorization?: True
Cluster training?: False
EPOCH     LR        TRAIN         VALID             MSE:T/V                  RL:T/V             %NR_t/%NR_v
===============================================================================================================
  1   5.000E-03   9.8790E+01   9.8790E+01   9.8790E+01 / 9.8790E+01   0.0000E+00 / 0.0000E+00   0.00% / 0.00%
 10   5.000E-03   4.5255E+00   4.5255E+00   4.5255E+00 / 4.5255E+00   5.3175E-02 / 5.3175E-02   32.26% / 32.26%
 20   5.000E-03   3.5700E+00   3.5700E+00   3.5700E+00 / 3.5700E+00   4.1206E-02 / 4.1206E-02   34.19% / 34.19%
 30   5.000E-03   3.0455E+00   3.0455E+00   3.0455E+00 / 3.0455E+00   4.1059E-02 / 4.1059E-02   35.48% / 35.48%
 40   5.000E-03   2.3850E+00   2.3850E+00   2.3850E+00 / 2.3850E+00   4.9398E-02 / 4.9398E-02   38.06% / 38.06%
 50   5.000E-03   1.5327E+00   1.5327E+00   1.5327E+00 / 1.5327E+00   5.9639E-02 / 5.9639E-02   40.00% / 40.00%
 60   5.000E-03   8.5932E-01   8.5932E-01   8.5932E-01 / 8.5932E-01   8.3290E-02 / 8.3290E-02   41.94% / 41.94%
 70   5.000E-03   6.3092E-01   6.3092E-01   6.3092E-01 / 6.3092E-01   1.0682E-01 / 1.0682E-01   43.87% / 43.87%
 80   5.000E-03   5.5223E-01   5.5223E-01   5.5223E-01 / 5.5223E-01   1.2207E-01 / 1.2207E-01   44.52% / 44.52%
 90   5.000E-03   5.1059E-01   5.1059E-01   5.1059E-01 / 5.1059E-01   1.2950E-01 / 1.2950E-01   44.52% / 44.52%
100   5.000E-03   4.6188E-01   4.6188E-01   4.6188E-01 / 4.6188E-01   1.4006E-01 / 1.4006E-01   44.52% / 44.52%
110   5.000E-03   4.2373E-01   4.2373E-01   4.2373E-01 / 4.2373E-01   1.4313E-01 / 1.4313E-01   44.52% / 44.52%
120   5.000E-03   3.8947E-01   3.8947E-01   3.8947E-01 / 3.8947E-01   1.4945E-01 / 1.4945E-01   44.52% / 44.52%
130   5.000E-03   3.6049E-01   3.6049E-01   3.6049E-01 / 3.6049E-01   1.5641E-01 / 1.5641E-01   45.16% / 45.16%
140   5.000E-03   3.3373E-01   3.3373E-01   3.3373E-01 / 3.3373E-01   1.6112E-01 / 1.6112E-01   45.16% / 45.16%
150   5.000E-03   3.1302E-01   3.1302E-01   3.1302E-01 / 3.1302E-01   1.6751E-01 / 1.6751E-01   45.16% / 45.16%
160   5.000E-03   2.9510E-01   2.9510E-01   2.9510E-01 / 2.9510E-01   1.7890E-01 / 1.7890E-01   45.16% / 45.16%
170   5.000E-03   2.8200E-01   2.8200E-01   2.8200E-01 / 2.8200E-01   1.8101E-01 / 1.8101E-01   46.45% / 46.45%
180   5.000E-03   2.6829E-01   2.6829E-01   2.6829E-01 / 2.6829E-01   1.8905E-01 / 1.8905E-01   46.45% / 46.45%
190   5.000E-03   2.4834E-01   2.4834E-01   2.4834E-01 / 2.4834E-01   1.9390E-01 / 1.9390E-01   45.81% / 45.81%
200   5.000E-03   2.3987E-01   2.3987E-01   2.3987E-01 / 2.3987E-01   1.9790E-01 / 1.9790E-01   45.81% / 45.81%
210   5.000E-03   2.2679E-01   2.2679E-01   2.2679E-01 / 2.2679E-01   2.0036E-01 / 2.0036E-01   45.81% / 45.81%
220   5.000E-03   2.2165E-01   2.2165E-01   2.2165E-01 / 2.2165E-01   2.1102E-01 / 2.1102E-01   45.81% / 45.81%
230   5.000E-03   2.0666E-01   2.0666E-01   2.0666E-01 / 2.0666E-01   2.1764E-01 / 2.1764E-01   46.45% / 46.45%
