=====> WARNING: Training dataset length: 0, assuming memorization test!
========== Dataset info ==========
Dataset params: {'file': '/home/ryley/WDK/ML/dataset/turbulence_dataset_clean.csv', 'Cases': ['fp_3630'], 'val_set': ['fp_3630'], 'test_set': ['fp_3630'], 'data_loader': <class 'tbnn.dataloaders.aDataset'>}
Train/Valid/Test points: 168 / 168 / 168
Memorization?: True
Cluster training?: False
EPOCH     LR        TRAIN         VALID             MSE:T/V                  RL:T/V             %NR_t/%NR_v
===============================================================================================================
  1   5.000E-04   4.4334E+00   4.4334E+00   4.4334E+00 / 4.4334E+00   0.0000E+00 / 0.0000E+00   0.00% / 0.00%
 10   5.000E-04   4.1845E+00   4.1845E+00   4.1845E+00 / 4.1845E+00   0.0000E+00 / 0.0000E+00   0.00% / 0.00%
 20   5.000E-04   6.2612E-01   6.2612E-01   6.2612E-01 / 6.2612E-01   0.0000E+00 / 0.0000E+00   0.00% / 0.00%
 30   5.000E-04   2.1392E-01   2.1392E-01   2.1091E-01 / 2.1091E-01   2.5651E-03 / 2.5651E-03   21.43% / 21.43%
 40   5.000E-04   1.8721E-01   1.8721E-01   1.8205E-01 / 1.8205E-01   4.4614E-03 / 4.4614E-03   22.62% / 22.62%
 50   5.000E-04   1.7180E-01   1.7180E-01   1.6551E-01 / 1.6551E-01   5.5233E-03 / 5.5233E-03   23.21% / 23.21%
 60   5.000E-04   1.6239E-01   1.6239E-01   1.5648E-01 / 1.5648E-01   5.3181E-03 / 5.3181E-03   22.62% / 22.62%
 70   5.000E-04   1.5290E-01   1.5290E-01   1.4700E-01 / 1.4700E-01   5.4231E-03 / 5.4231E-03   22.62% / 22.62%
 80   5.000E-04   1.4384E-01   1.4384E-01   1.3831E-01 / 1.3831E-01   5.1618E-03 / 5.1618E-03   22.62% / 22.62%
 90   5.000E-04   1.3556E-01   1.3556E-01   1.3041E-01 / 1.3041E-01   4.8972E-03 / 4.8972E-03   22.02% / 22.02%
100   5.000E-04   1.2808E-01   1.2808E-01   1.2380E-01 / 1.2380E-01   4.1502E-03 / 4.1502E-03   21.43% / 21.43%
110   5.000E-04   1.2031E-01   1.2031E-01   1.1633E-01 / 1.1633E-01   3.9211E-03 / 3.9211E-03   21.43% / 21.43%
120   5.000E-04   1.1338E-01   1.1338E-01   1.1032E-01 / 1.1032E-01   3.0979E-03 / 3.0979E-03   20.83% / 20.83%
130   5.000E-04   1.0321E-01   1.0321E-01   1.0019E-01 / 1.0019E-01   3.1073E-03 / 3.1073E-03   20.83% / 20.83%
140   5.000E-04   9.2536E-02   9.2536E-02   9.0087E-02 / 9.0087E-02   2.5981E-03 / 2.5981E-03   20.83% / 20.83%
