=====> WARNING: Training dataset length: 0, assuming memorization test!
========== Dataset info ==========
Dataset params: {'file': '/home/ryley/WDK/ML/dataset/turbulence_dataset_clean.csv', 'Cases': ['fp_2540'], 'val_set': ['fp_2540'], 'test_set': ['fp_2540'], 'data_loader': <class 'tbnn.dataloaders.aDataset'>}
Train/Valid/Test points: 155 / 155 / 155
Memorization?: True
EPOCH     LR        TRAIN         VALID             MSE:T/V                  RL:T/V             %NR_t/%NR_v
===============================================================================================================
  1   5.000E-03   3.8375E-02   3.8375E-02   3.8375E-02 / 3.8375E-02   0.0000E+00 / 0.0000E+00   0.00% / 0.00%
 10   5.000E-03   3.3287E-03   3.3287E-03   3.3287E-03 / 3.3287E-03   0.0000E+00 / 0.0000E+00   0.00% / 0.00%
 20   5.000E-03   1.6936E-03   1.6936E-03   1.5545E-03 / 1.5545E-03   1.1634E-04 / 1.1634E-04   9.68% / 9.68%
 30   5.000E-03   1.2509E-03   1.2509E-03   1.2190E-03 / 1.2190E-03   2.6652E-05 / 2.6652E-05   7.74% / 7.74%
 40   5.000E-03   1.0555E-03   1.0555E-03   1.0453E-03 / 1.0453E-03   8.5077E-06 / 8.5077E-06   5.81% / 5.81%
 50   5.000E-03   8.8009E-04   8.8009E-04   8.7104E-04 / 8.7104E-04   7.5705E-06 / 7.5705E-06   5.81% / 5.81%
 60   5.000E-03   6.8965E-04   6.8965E-04   6.8829E-04 / 6.8829E-04   1.1348E-06 / 1.1348E-06   4.52% / 4.52%
 70   5.000E-03   4.5687E-04   4.5687E-04   4.5505E-04 / 4.5505E-04   1.5218E-06 / 1.5218E-06   5.16% / 5.16%
 80   5.000E-03   2.8977E-04   2.8977E-04   2.8975E-04 / 2.8975E-04   2.0022E-08 / 2.0022E-08   1.94% / 1.94%
 90   5.000E-03   2.1396E-04   2.1396E-04   2.1384E-04 / 2.1384E-04   1.0194E-07 / 1.0194E-07   1.94% / 1.94%
100   5.000E-03   1.8116E-04   1.8116E-04   1.8070E-04 / 1.8070E-04   3.8985E-07 / 3.8985E-07   2.58% / 2.58%
110   5.000E-03   1.6270E-04   1.6270E-04   1.6207E-04 / 1.6207E-04   5.3224E-07 / 5.3224E-07   2.58% / 2.58%
120   5.000E-03   1.5056E-04   1.5056E-04   1.4997E-04 / 1.4997E-04   4.8979E-07 / 4.8979E-07   1.94% / 1.94%
130   5.000E-03   1.4239E-04   1.4239E-04   1.4170E-04 / 1.4170E-04   5.7824E-07 / 5.7824E-07   2.58% / 2.58%
140   5.000E-03   1.3726E-04   1.3726E-04   1.3631E-04 / 1.3631E-04   7.9119E-07 / 7.9119E-07   2.58% / 2.58%
