=====> WARNING: Training dataset length: 0, assuming memorization test!
========== Dataset info ==========
Dataset params: {'file': '/home/ryley/WDK/ML/dataset/turbulence_dataset_clean.csv', 'Cases': ['fp_3630'], 'val_set': ['fp_3630'], 'test_set': ['fp_3630'], 'data_loader': <class 'tbnn.dataloaders.aDataset'>}
Train/Valid/Test points: 168 / 168 / 168
Memorization?: True
Cluster training?: False
EPOCH     LR        TRAIN         VALID             MSE:T/V                  RL:T/V             %NR_t/%NR_v
===============================================================================================================
  1   1.000E-03   2.9045E+04   2.9045E+04   2.9045E+04 / 2.9045E+04   0.0000E+00 / 0.0000E+00   0.00% / 0.00%
 10   1.000E-03   2.8585E+04   2.8585E+04   2.8585E+04 / 2.8585E+04   0.0000E+00 / 0.0000E+00   0.00% / 0.00%
 20   1.000E-03   2.7682E+04   2.7682E+04   2.7682E+04 / 2.7682E+04   0.0000E+00 / 0.0000E+00   0.00% / 0.00%
 30   1.000E-03   2.5490E+04   2.5490E+04   2.5490E+04 / 2.5490E+04   0.0000E+00 / 0.0000E+00   0.00% / 0.00%
 40   1.000E-03   1.8625E+04   1.8625E+04   1.8625E+04 / 1.8625E+04   0.0000E+00 / 0.0000E+00   0.00% / 0.00%
 50   1.000E-03   5.2950E+03   5.2950E+03   5.2950E+03 / 5.2950E+03   0.0000E+00 / 0.0000E+00   0.00% / 0.00%
 60   1.000E-03   3.1205E+03   3.1205E+03   3.1205E+03 / 3.1205E+03   4.7192E-05 / 4.7192E-05   8.93% / 8.93%
 70   1.000E-03   2.4816E+03   2.4816E+03   2.4816E+03 / 2.4816E+03   3.3928E-04 / 3.3928E-04   14.29% / 14.29%
 80   1.000E-03   1.7229E+03   1.7229E+03   1.7229E+03 / 1.7229E+03   6.7283E-04 / 6.7283E-04   16.67% / 16.67%
 90   1.000E-03   2.8162E+03   2.8162E+03   2.8162E+03 / 2.8162E+03   6.3020E-04 / 6.3020E-04   16.07% / 16.07%
100   1.000E-03   3.4553E+03   3.4553E+03   3.4553E+03 / 3.4553E+03   2.9661E-04 / 2.9661E-04   14.29% / 14.29%
110   1.000E-03   1.5372E+03   1.5372E+03   1.5372E+03 / 1.5372E+03   7.3217E-04 / 7.3217E-04   17.26% / 17.26%
120   1.000E-03   1.3675E+03   1.3675E+03   1.3675E+03 / 1.3675E+03   6.9609E-04 / 6.9609E-04   16.67% / 16.67%
130   1.000E-03   1.2909E+03   1.2909E+03   1.2909E+03 / 1.2909E+03   9.4881E-04 / 9.4881E-04   17.86% / 17.86%
140   1.000E-03   1.2392E+03   1.2392E+03   1.2392E+03 / 1.2392E+03   1.1417E-03 / 1.1417E-03   18.45% / 18.45%
150   1.000E-03   1.2171E+03   1.2171E+03   1.2171E+03 / 1.2171E+03   1.6727E-03 / 1.6727E-03   20.24% / 20.24%
160   1.000E-03   1.2625E+03   1.2625E+03   1.2625E+03 / 1.2625E+03   1.8574E-03 / 1.8574E-03   20.24% / 20.24%
170   1.000E-03   1.1355E+03   1.1355E+03   1.1355E+03 / 1.1355E+03   2.2528E-03 / 2.2528E-03   20.83% / 20.83%
180   1.000E-03   1.1192E+03   1.1192E+03   1.1192E+03 / 1.1192E+03   2.4904E-03 / 2.4904E-03   21.43% / 21.43%
190   1.000E-03   1.0981E+03   1.0981E+03   1.0981E+03 / 1.0981E+03   2.7096E-03 / 2.7096E-03   21.43% / 21.43%
200   1.000E-03   1.0857E+03   1.0857E+03   1.0857E+03 / 1.0857E+03   2.8987E-03 / 2.8987E-03   21.43% / 21.43%
210   1.000E-03   1.0736E+03   1.0736E+03   1.0736E+03 / 1.0736E+03   3.0837E-03 / 3.0837E-03   21.43% / 21.43%
220   1.000E-03   1.1130E+03   1.1130E+03   1.1130E+03 / 1.1130E+03   3.0297E-03 / 3.0297E-03   20.83% / 20.83%
230   1.000E-03   1.2034E+03   1.2034E+03   1.2034E+03 / 1.2034E+03   3.0679E-03 / 3.0679E-03   21.43% / 21.43%
240   1.000E-03   1.6967E+03   1.6967E+03   1.6967E+03 / 1.6967E+03   2.7684E-03 / 2.7684E-03   20.83% / 20.83%
