========== Dataset info ==========
Dataset params: {'file': '/home/ryley/WDK/ML/dataset/turbulence_dataset_clean_split.csv', 'Cases': ['fp_1000', 'fp_1410', 'fp_2000', 'fp_2540', 'fp_3030', 'fp_3270', 'fp_3630', 'fp_3970', 'fp_4060'], 'val_set': ['fp_3030', 'fp_1410', 'fp_4060'], 'test_set': ['fp_3630'], 'cluster': 1, 'data_loader': <class 'tbnn.dataloaders.aDataset'>}
Train/Valid/Test points: 200 / 121 / 41
Memorization?: False
Cluster training?: True
Cluster: 1
EPOCH     LR        TRAIN         VALID             MSE:T/V                  RL:T/V             %NR_t/%NR_v
===============================================================================================================
  1   1.000E-03   1.9025E-02   1.8630E-02   1.9025E-02 / 1.8630E-02   0.0000E+00 / 0.0000E+00   0.00% / 0.00%
 10   1.000E-03   1.8661E-02   1.8272E-02   1.8661E-02 / 1.8272E-02   0.0000E+00 / 0.0000E+00   0.00% / 0.00%
 20   1.000E-03   1.7623E-02   1.7252E-02   1.7623E-02 / 1.7252E-02   0.0000E+00 / 0.0000E+00   0.00% / 0.00%
 30   1.000E-03   1.3660E-02   1.3356E-02   1.3660E-02 / 1.3356E-02   0.0000E+00 / 0.0000E+00   0.00% / 0.00%
 40   1.000E-03   4.0722E-03   3.9825E-03   3.9785E-03 / 3.8889E-03   3.1437E-04 / 3.1895E-04   11.50% / 11.57%
 50   1.000E-03   3.5762E-03   3.4961E-03   3.5680E-03 / 3.4878E-03   2.7488E-05 / 2.8329E-05   7.00% / 6.61%
 60   1.000E-03   3.2853E-03   3.2255E-03   3.2583E-03 / 3.1984E-03   9.0687E-05 / 9.2142E-05   9.50% / 9.92%
 70   1.000E-03   3.0726E-03   3.0109E-03   3.0619E-03 / 3.0000E-03   3.6174E-05 / 3.6852E-05   7.50% / 7.44%
 80   1.000E-03   2.8775E-03   2.8208E-03   2.8616E-03 / 2.8050E-03   5.3174E-05 / 5.3844E-05   9.00% / 9.09%
 90   1.000E-03   2.6921E-03   2.6383E-03   2.6788E-03 / 2.6251E-03   4.4501E-05 / 4.4903E-05   9.00% / 9.09%
100   1.000E-03   2.5099E-03   2.4597E-03   2.4976E-03 / 2.4475E-03   4.1399E-05 / 4.1573E-05   9.00% / 9.09%
110   1.000E-03   2.3313E-03   2.2846E-03   2.3200E-03 / 2.2735E-03   3.7899E-05 / 3.7854E-05   9.50% / 9.92%
120   1.000E-03   2.1557E-03   2.1127E-03   2.1443E-03 / 2.1015E-03   3.8304E-05 / 3.8032E-05   10.00% / 9.92%
130   1.000E-03   1.9826E-03   1.9423E-03   1.9737E-03 / 1.9336E-03   2.9835E-05 / 2.9393E-05   10.00% / 9.92%
140   1.000E-03   1.8050E-03   1.7679E-03   1.7979E-03 / 1.7610E-03   2.3913E-05 / 2.3315E-05   10.00% / 9.92%
150   1.000E-03   1.6211E-03   1.5879E-03   1.6144E-03 / 1.5815E-03   2.2510E-05 / 2.1698E-05   11.00% / 10.74%
160   1.000E-03   1.4273E-03   1.3971E-03   1.4242E-03 / 1.3942E-03   1.0533E-05 / 9.8158E-06   10.50% / 9.92%
170   1.000E-03   1.2356E-03   1.2091E-03   1.2342E-03 / 1.2078E-03   4.7941E-06 / 4.1644E-06   10.50% / 9.92%
180   1.000E-03   1.0585E-03   1.0355E-03   1.0582E-03 / 1.0353E-03   9.1603E-07 / 5.6067E-07   9.00% / 8.26%
190   1.000E-03   9.1696E-04   8.9705E-04   9.1693E-04 / 8.9705E-04   1.1324E-07 / 4.6254E-09   2.50% / 2.48%
200   1.000E-03   8.1127E-04   7.9364E-04   8.1126E-04 / 7.9364E-04   2.4392E-08 / 0.0000E+00   2.50% / 0.00%
210   1.000E-03   7.2884E-04   7.1291E-04   7.2879E-04 / 7.1289E-04   1.9837E-07 / 8.0490E-08   5.50% / 4.96%
220   1.000E-03   6.6035E-04   6.4596E-04   6.6024E-04 / 6.4589E-04   3.7812E-07 / 2.3145E-07   6.00% / 6.61%
230   1.000E-03   6.0283E-04   5.8963E-04   6.0273E-04 / 5.8957E-04   3.3474E-07 / 2.0410E-07   6.00% / 5.79%
240   1.000E-03   5.5486E-04   5.4255E-04   5.5475E-04 / 5.4247E-04   3.8577E-07 / 2.5801E-07   6.50% / 5.79%
