=====> WARNING: Training dataset length: 0, assuming memorization test!
========== Dataset info ==========
Dataset params: {'file': '/home/ryley/WDK/ML/dataset/turbulence_dataset_clean.csv', 'Cases': ['squareDuctAve_Re_2000'], 'val_set': ['squareDuctAve_Re_2000'], 'test_set': ['squareDuctAve_Re_2000'], 'data_loader': <class 'tbnn.dataloaders.aDataset'>}
Train/Valid/Test points: 9216 / 9216 / 9216
Memorization?: True
Cluster training?: False
EPOCH     LR        TRAIN         VALID             MSE:T/V                  RL:T/V             %NR_t/%NR_v
===============================================================================================================
  1   1.000E-04   1.5456E-06   1.5456E-06   1.5456E-06 / 1.5456E-06   0.0000E+00 / 0.0000E+00   0.00% / 0.00%
 10   1.000E-04   7.5685E-07   7.5685E-07   7.5685E-07 / 7.5685E-07   0.0000E+00 / 0.0000E+00   0.00% / 0.00%
 20   1.000E-04   1.1893E-07   1.1893E-07   1.1893E-07 / 1.1893E-07   1.1353E-02 / 1.1353E-02   37.73% / 37.73%
 30   1.000E-04   7.5093E-08   7.5093E-08   7.5093E-08 / 7.5093E-08   2.2870E-02 / 2.2870E-02   38.59% / 38.59%
 40   1.000E-04   5.4961E-08   5.4961E-08   5.4961E-08 / 5.4961E-08   1.8463E-02 / 1.8463E-02   39.84% / 39.84%
 50   1.000E-04   3.7048E-08   3.7048E-08   3.7048E-08 / 3.7048E-08   1.3620E-02 / 1.3620E-02   40.22% / 40.22%
 60   1.000E-04   2.9942E-08   2.9942E-08   2.9942E-08 / 2.9942E-08   1.4652E-02 / 1.4652E-02   42.23% / 42.23%
 70   1.000E-04   2.6986E-08   2.6986E-08   2.6986E-08 / 2.6986E-08   1.5416E-02 / 1.5416E-02   43.95% / 43.95%
 80   1.000E-04   2.5062E-08   2.5062E-08   2.5062E-08 / 2.5062E-08   1.5156E-02 / 1.5156E-02   45.17% / 45.17%
 90   1.000E-04   2.3424E-08   2.3424E-08   2.3424E-08 / 2.3424E-08   1.5332E-02 / 1.5332E-02   46.15% / 46.15%
100   1.000E-04   2.2168E-08   2.2168E-08   2.2168E-08 / 2.2168E-08   1.5529E-02 / 1.5529E-02   46.47% / 46.47%
110   1.000E-04   2.1151E-08   2.1151E-08   2.1151E-08 / 2.1151E-08   1.6074E-02 / 1.6074E-02   47.01% / 47.01%
120   1.000E-04   2.0101E-08   2.0101E-08   2.0101E-08 / 2.0101E-08   1.6400E-02 / 1.6400E-02   47.45% / 47.45%
130   1.000E-04   1.9195E-08   1.9195E-08   1.9195E-08 / 1.9195E-08   1.7437E-02 / 1.7437E-02   47.78% / 47.78%
140   1.000E-04   1.8433E-08   1.8433E-08   1.8433E-08 / 1.8433E-08   1.8804E-02 / 1.8804E-02   48.10% / 48.10%
150   1.000E-04   1.7294E-08   1.7294E-08   1.7294E-08 / 1.7294E-08   2.0374E-02 / 2.0374E-02   48.06% / 48.06%
160   1.000E-04   1.6153E-08   1.6153E-08   1.6153E-08 / 1.6153E-08   2.3183E-02 / 2.3183E-02   47.75% / 47.75%
170   1.000E-04   1.5064E-08   1.5064E-08   1.5064E-08 / 1.5064E-08   2.7241E-02 / 2.7241E-02   47.32% / 47.32%
180   1.000E-04   1.4150E-08   1.4150E-08   1.4150E-08 / 1.4150E-08   3.1695E-02 / 3.1695E-02   47.20% / 47.20%
190   1.000E-04   1.3556E-08   1.3556E-08   1.3556E-08 / 1.3556E-08   3.6355E-02 / 3.6355E-02   46.98% / 46.98%
200   1.000E-04   1.3131E-08   1.3131E-08   1.3131E-08 / 1.3131E-08   3.9642E-02 / 3.9642E-02   47.28% / 47.28%
210   1.000E-04   1.2904E-08   1.2904E-08   1.2904E-08 / 1.2904E-08   4.2408E-02 / 4.2408E-02   47.30% / 47.30%
220   1.000E-04   1.2467E-08   1.2467E-08   1.2467E-08 / 1.2467E-08   4.4425E-02 / 4.4425E-02   47.25% / 47.25%
230   1.000E-04   1.2181E-08   1.2181E-08   1.2181E-08 / 1.2181E-08   4.6351E-02 / 4.6351E-02   47.19% / 47.19%
240   1.000E-04   1.1933E-08   1.1933E-08   1.1933E-08 / 1.1933E-08   4.7741E-02 / 4.7741E-02   47.40% / 47.40%
250   1.000E-04   1.1677E-08   1.1677E-08   1.1677E-08 / 1.1677E-08   4.9115E-02 / 4.9115E-02   47.48% / 47.48%
260   1.000E-04   1.1451E-08   1.1451E-08   1.1451E-08 / 1.1451E-08   5.0910E-02 / 5.0910E-02   47.43% / 47.43%
270   1.000E-04   1.1215E-08   1.1215E-08   1.1215E-08 / 1.1215E-08   5.1873E-02 / 5.1873E-02   47.47% / 47.47%
280   1.000E-04   1.0990E-08   1.0990E-08   1.0990E-08 / 1.0990E-08   5.3232E-02 / 5.3232E-02   47.75% / 47.75%
290   1.000E-04   1.0978E-08   1.0978E-08   1.0978E-08 / 1.0978E-08   5.4032E-02 / 5.4032E-02   47.58% / 47.58%
300   1.000E-04   1.0566E-08   1.0566E-08   1.0566E-08 / 1.0566E-08   5.5767E-02 / 5.5767E-02   47.53% / 47.53%
310   1.000E-04   1.0467E-08   1.0467E-08   1.0467E-08 / 1.0467E-08   5.6690E-02 / 5.6690E-02   47.46% / 47.46%
320   1.000E-04   1.0222E-08   1.0222E-08   1.0222E-08 / 1.0222E-08   5.8002E-02 / 5.8002E-02   47.33% / 47.33%
330   1.000E-04   1.0034E-08   1.0034E-08   1.0034E-08 / 1.0034E-08   5.9225E-02 / 5.9225E-02   47.44% / 47.44%
340   1.000E-04   9.8558E-09   9.8558E-09   9.8558E-09 / 9.8558E-09   6.0487E-02 / 6.0487E-02   47.57% / 47.57%
350   1.000E-04   9.6985E-09   9.6985E-09   9.6985E-09 / 9.6985E-09   6.1903E-02 / 6.1903E-02   47.66% / 47.66%
360   1.000E-04   9.7508E-09   9.7508E-09   9.7508E-09 / 9.7508E-09   6.2806E-02 / 6.2806E-02   47.78% / 47.78%
370   1.000E-04   9.9687E-09   9.9687E-09   9.9687E-09 / 9.9687E-09   6.4049E-02 / 6.4049E-02   47.86% / 47.86%
380   1.000E-04   9.6280E-09   9.6280E-09   9.6280E-09 / 9.6280E-09   6.5598E-02 / 6.5598E-02   48.04% / 48.04%
390   1.000E-04   9.2911E-09   9.2911E-09   9.2911E-09 / 9.2911E-09   6.7429E-02 / 6.7429E-02   48.09% / 48.09%
400   1.000E-04   9.3423E-09   9.3423E-09   9.3423E-09 / 9.3423E-09   6.8752E-02 / 6.8752E-02   48.16% / 48.16%
410   1.000E-04   9.1702E-09   9.1702E-09   9.1702E-09 / 9.1702E-09   7.0389E-02 / 7.0389E-02   48.22% / 48.22%
420   1.000E-04   9.2070E-09   9.2070E-09   9.2070E-09 / 9.2070E-09   7.2683E-02 / 7.2683E-02   48.30% / 48.30%
430   1.000E-04   8.9286E-09   8.9286E-09   8.9286E-09 / 8.9286E-09   7.3801E-02 / 7.3801E-02   48.37% / 48.37%
440   1.000E-04   8.9310E-09   8.9310E-09   8.9310E-09 / 8.9310E-09   7.5423E-02 / 7.5423E-02   48.52% / 48.52%
450   1.000E-04   9.0388E-09   9.0388E-09   9.0388E-09 / 9.0388E-09   7.6905E-02 / 7.6905E-02   48.54% / 48.54%
460   1.000E-04   8.7578E-09   8.7578E-09   8.7578E-09 / 8.7578E-09   7.8674E-02 / 7.8674E-02   48.58% / 48.58%
470   1.000E-04   8.9208E-09   8.9208E-09   8.9208E-09 / 8.9208E-09   7.9922E-02 / 7.9922E-02   48.67% / 48.67%
480   1.000E-04   8.9244E-09   8.9244E-09   8.9244E-09 / 8.9244E-09   8.2322E-02 / 8.2322E-02   48.81% / 48.81%
490   1.000E-04   8.6264E-09   8.6264E-09   8.6264E-09 / 8.6264E-09   8.3573E-02 / 8.3573E-02   49.05% / 49.05%
500   1.000E-04   8.8118E-09   8.8118E-09   8.8118E-09 / 8.8118E-09   8.4523E-02 / 8.4523E-02   49.18% / 49.18%
===============================================================================================================
Saved model to models/duct_memorization/TBNNiii-24Apr30_10:03:02.pickle
