=====> WARNING: Training dataset length: 0, assuming memorization test!
========== Dataset info ==========
Dataset params: {'file': '/home/ryley/WDK/ML/dataset/turbulence_dataset_clean.csv', 'Cases': ['squareDuctAve_Re_2000'], 'val_set': ['squareDuctAve_Re_2000'], 'test_set': ['squareDuctAve_Re_2000'], 'data_loader': <class 'tbnn.dataloaders.aDataset'>}
Train/Valid/Test points: 9216 / 9216 / 9216
Memorization?: True
Cluster training?: False
EPOCH     LR        TRAIN         VALID             MSE:T/V                  RL:T/V             %NR_t/%NR_v
===============================================================================================================
  1   1.000E-04   1.5456E-06   1.5456E-06   1.5456E-06 / 1.5456E-06   0.0000E+00 / 0.0000E+00   0.00% / 0.00%
 10   1.000E-04   7.5701E-07   7.5701E-07   7.5701E-07 / 7.5701E-07   0.0000E+00 / 0.0000E+00   0.00% / 0.00%
 20   1.000E-04   1.4194E-07   1.4194E-07   1.4097E-07 / 1.4097E-07   3.3336E-07 / 3.3336E-07   1.75% / 1.75%
 30   1.000E-04   7.4806E-08   7.4806E-08   7.4293E-08 / 7.4293E-08   1.9020E-07 / 1.9020E-07   1.75% / 1.75%
 40   1.000E-04   4.5965E-08   4.5965E-08   4.5751E-08 / 4.5751E-08   8.0847E-08 / 8.0847E-08   2.37% / 2.37%
 50   1.000E-04   3.5331E-08   3.5331E-08   3.5263E-08 / 3.5263E-08   2.4386E-08 / 2.4386E-08   1.90% / 1.90%
 60   1.000E-04   3.1468E-08   3.1468E-08   3.1425E-08 / 3.1425E-08   1.4799E-08 / 1.4799E-08   1.11% / 1.11%
 70   1.000E-04   2.9562E-08   2.9562E-08   2.9491E-08 / 2.9491E-08   2.4033E-08 / 2.4033E-08   1.14% / 1.14%
 80   1.000E-04   2.8220E-08   2.8220E-08   2.8189E-08 / 2.8189E-08   1.0371E-08 / 1.0371E-08   1.01% / 1.01%
 90   1.000E-04   2.7158E-08   2.7158E-08   2.7140E-08 / 2.7140E-08   5.9248E-09 / 5.9248E-09   0.98% / 0.98%
100   1.000E-04   2.6322E-08   2.6322E-08   2.6296E-08 / 2.6296E-08   8.5503E-09 / 8.5503E-09   1.01% / 1.01%
110   1.000E-04   2.5752E-08   2.5752E-08   2.5667E-08 / 2.5667E-08   2.8161E-08 / 2.8161E-08   1.05% / 1.05%
120   1.000E-04   2.5055E-08   2.5055E-08   2.5025E-08 / 2.5025E-08   9.8421E-09 / 9.8421E-09   1.01% / 1.01%
130   1.000E-04   2.4559E-08   2.4559E-08   2.4524E-08 / 2.4524E-08   1.1384E-08 / 1.1384E-08   1.01% / 1.01%
140   1.000E-04   2.4117E-08   2.4117E-08   2.4079E-08 / 2.4079E-08   1.2178E-08 / 1.2178E-08   1.01% / 1.01%
150   1.000E-04   2.3668E-08   2.3668E-08   2.3627E-08 / 2.3627E-08   1.3419E-08 / 1.3419E-08   1.00% / 1.00%
160   1.000E-04   2.3271E-08   2.3271E-08   2.3212E-08 / 2.3212E-08   1.9455E-08 / 1.9455E-08   1.02% / 1.02%
170   1.000E-04   2.2880E-08   2.2880E-08   2.2860E-08 / 2.2860E-08   6.2753E-09 / 6.2753E-09   0.89% / 0.89%
180   1.000E-04   2.2506E-08   2.2506E-08   2.2485E-08 / 2.2485E-08   6.8717E-09 / 6.8717E-09   0.90% / 0.90%
190   1.000E-04   2.2012E-08   2.2012E-08   2.1984E-08 / 2.1984E-08   9.0998E-09 / 9.0998E-09   0.92% / 0.92%
200   1.000E-04   2.1548E-08   2.1548E-08   2.1539E-08 / 2.1539E-08   2.8468E-09 / 2.8468E-09   0.75% / 0.75%
210   1.000E-04   2.0848E-08   2.0848E-08   2.0813E-08 / 2.0813E-08   1.1306E-08 / 1.1306E-08   0.92% / 0.92%
220   1.000E-04   1.9970E-08   1.9970E-08   1.9900E-08 / 1.9900E-08   2.2723E-08 / 2.2723E-08   0.97% / 0.97%
230   1.000E-04   1.9034E-08   1.9034E-08   1.8979E-08 / 1.8979E-08   1.7803E-08 / 1.7803E-08   0.92% / 0.92%
240   1.000E-04   1.8424E-08   1.8424E-08   1.8373E-08 / 1.8373E-08   1.6522E-08 / 1.6522E-08   0.91% / 0.91%
250   1.000E-04   1.8020E-08   1.8020E-08   1.8007E-08 / 1.8007E-08   4.3027E-09 / 4.3027E-09   0.73% / 0.73%
260   1.000E-04   1.7652E-08   1.7652E-08   1.7613E-08 / 1.7613E-08   1.2871E-08 / 1.2871E-08   0.85% / 0.85%
270   1.000E-04   1.7381E-08   1.7381E-08   1.7370E-08 / 1.7370E-08   3.4184E-09 / 3.4184E-09   0.66% / 0.66%
280   1.000E-04   1.7037E-08   1.7037E-08   1.6992E-08 / 1.6992E-08   1.4534E-08 / 1.4534E-08   0.87% / 0.87%
290   1.000E-04   1.6703E-08   1.6703E-08   1.6681E-08 / 1.6681E-08   7.1186E-09 / 7.1186E-09   0.78% / 0.78%
300   1.000E-04   1.6433E-08   1.6433E-08   1.6399E-08 / 1.6399E-08   1.0697E-08 / 1.0697E-08   0.82% / 0.82%
310   1.000E-04   1.6128E-08   1.6128E-08   1.6098E-08 / 1.6098E-08   9.6039E-09 / 9.6039E-09   0.81% / 0.81%
320   1.000E-04   1.5913E-08   1.5913E-08   1.5892E-08 / 1.5892E-08   6.8749E-09 / 6.8749E-09   0.78% / 0.78%
330   1.000E-04   1.5624E-08   1.5624E-08   1.5607E-08 / 1.5607E-08   5.4937E-09 / 5.4937E-09   0.74% / 0.74%
340   1.000E-04   1.5378E-08   1.5378E-08   1.5354E-08 / 1.5354E-08   7.7522E-09 / 7.7522E-09   0.80% / 0.80%
350   1.000E-04   1.5247E-08   1.5247E-08   1.5190E-08 / 1.5190E-08   1.8564E-08 / 1.8564E-08   0.97% / 0.97%
360   1.000E-04   1.5015E-08   1.5015E-08   1.5004E-08 / 1.5004E-08   3.6269E-09 / 3.6269E-09   0.69% / 0.69%
370   1.000E-04   1.4854E-08   1.4854E-08   1.4837E-08 / 1.4837E-08   5.6163E-09 / 5.6163E-09   0.77% / 0.77%
380   1.000E-04   1.4665E-08   1.4665E-08   1.4640E-08 / 1.4640E-08   8.1248E-09 / 8.1248E-09   0.84% / 0.84%
390   1.000E-04   1.4420E-08   1.4420E-08   1.4400E-08 / 1.4400E-08   6.2287E-09 / 6.2287E-09   0.80% / 0.80%
400   1.000E-04   1.4452E-08   1.4452E-08   1.4446E-08 / 1.4446E-08   1.8146E-09 / 1.8146E-09   0.63% / 0.63%
410   1.000E-04   1.4180E-08   1.4180E-08   1.4168E-08 / 1.4168E-08   4.0538E-09 / 4.0538E-09   0.75% / 0.75%
420   1.000E-04   1.3988E-08   1.3988E-08   1.3953E-08 / 1.3953E-08   1.1535E-08 / 1.1535E-08   0.97% / 0.97%
430   1.000E-04   1.3820E-08   1.3820E-08   1.3800E-08 / 1.3800E-08   6.2630E-09 / 6.2630E-09   0.84% / 0.84%
440   1.000E-04   1.3694E-08   1.3694E-08   1.3670E-08 / 1.3670E-08   7.6705E-09 / 7.6705E-09   0.87% / 0.87%
450   1.000E-04   1.3652E-08   1.3652E-08   1.3648E-08 / 1.3648E-08   1.2028E-09 / 1.2028E-09   0.56% / 0.56%
460   1.000E-04   1.3440E-08   1.3440E-08   1.3424E-08 / 1.3424E-08   5.4327E-09 / 5.4327E-09   0.84% / 0.84%
470   1.000E-04   1.3474E-08   1.3474E-08   1.3469E-08 / 1.3469E-08   1.5490E-09 / 1.5490E-09   0.64% / 0.64%
480   1.000E-04   1.3207E-08   1.3207E-08   1.3187E-08 / 1.3187E-08   6.4324E-09 / 6.4324E-09   0.89% / 0.89%
490   1.000E-04   1.3178E-08   1.3178E-08   1.3163E-08 / 1.3163E-08   5.0699E-09 / 5.0699E-09   0.87% / 0.87%
500   1.000E-04   1.3334E-08   1.3334E-08   1.3334E-08 / 1.3334E-08   9.5668E-11 / 9.5668E-11   0.18% / 0.18%
===============================================================================================================
Saved model to models/duct_memorization/TBNNiii-24May06_11:08:13.pickle
