=====> WARNING: Training dataset length: 0, assuming memorization test!
========== Dataset info ==========
Dataset params: {'file': '/home/ryley/WDK/ML/dataset/turbulence_dataset_clean.csv', 'Cases': ['fp_2540'], 'val_set': ['fp_2540'], 'test_set': ['fp_2540'], 'data_loader': <class 'tbnn.dataloaders.aDataset'>}
Train/Valid/Test points: 155 / 155 / 155
Memorization?: True
Cluster training?: False
EPOCH     LR        TRAIN         VALID             MSE:T/V                  RL:T/V             %NR_t/%NR_v
===============================================================================================================
  1   5.000E-03   1.1009E+02   1.1009E+02   1.1009E+02 / 1.1009E+02   0.0000E+00 / 0.0000E+00   0.00% / 0.00%
 10   5.000E-03   4.7672E+00   4.7672E+00   4.7672E+00 / 4.7672E+00   4.2405E-02 / 4.2405E-02   36.13% / 36.13%
 20   5.000E-03   1.6404E+00   1.6404E+00   1.6404E+00 / 1.6404E+00   5.1260E-02 / 5.1260E-02   40.00% / 40.00%
 30   5.000E-03   8.1302E-01   8.1302E-01   8.1302E-01 / 8.1302E-01   8.7680E-02 / 8.7680E-02   41.94% / 41.94%
 40   5.000E-03   6.2825E-01   6.2825E-01   6.2825E-01 / 6.2825E-01   1.0487E-01 / 1.0487E-01   43.23% / 43.23%
 50   5.000E-03   5.0787E-01   5.0787E-01   5.0787E-01 / 5.0787E-01   1.1902E-01 / 1.1902E-01   43.87% / 43.87%
 60   5.000E-03   4.3085E-01   4.3085E-01   4.3085E-01 / 4.3085E-01   1.3489E-01 / 1.3489E-01   44.52% / 44.52%
 70   5.000E-03   4.1927E-01   4.1927E-01   4.1927E-01 / 4.1927E-01   1.4416E-01 / 1.4416E-01   44.52% / 44.52%
 80   5.000E-03   3.5845E-01   3.5845E-01   3.5845E-01 / 3.5845E-01   1.6167E-01 / 1.6167E-01   45.16% / 45.16%
 90   5.000E-03   3.1655E-01   3.1655E-01   3.1655E-01 / 3.1655E-01   1.6698E-01 / 1.6698E-01   45.16% / 45.16%
100   5.000E-03   2.9764E-01   2.9764E-01   2.9764E-01 / 2.9764E-01   1.6936E-01 / 1.6936E-01   45.81% / 45.81%
110   5.000E-03   3.1318E-01   3.1318E-01   3.1318E-01 / 3.1318E-01   1.7842E-01 / 1.7842E-01   45.16% / 45.16%
120   5.000E-03   2.5071E-01   2.5071E-01   2.5071E-01 / 2.5071E-01   1.8974E-01 / 1.8974E-01   45.81% / 45.81%
130   5.000E-03   2.4497E-01   2.4497E-01   2.4497E-01 / 2.4497E-01   2.0271E-01 / 2.0271E-01   45.81% / 45.81%
140   5.000E-03   2.2357E-01   2.2357E-01   2.2357E-01 / 2.2357E-01   2.0910E-01 / 2.0910E-01   47.10% / 47.10%
150   5.000E-03   2.0597E-01   2.0597E-01   2.0597E-01 / 2.0597E-01   2.1594E-01 / 2.1594E-01   46.45% / 46.45%
160   5.000E-03   1.9430E-01   1.9430E-01   1.9430E-01 / 1.9430E-01   2.2401E-01 / 2.2401E-01   46.45% / 46.45%
170   5.000E-03   1.9197E-01   1.9197E-01   1.9197E-01 / 1.9197E-01   2.2338E-01 / 2.2338E-01   47.10% / 47.10%
180   5.000E-03   1.8575E-01   1.8575E-01   1.8575E-01 / 1.8575E-01   2.3127E-01 / 2.3127E-01   46.45% / 46.45%
190   5.000E-03   2.0719E-01   2.0719E-01   2.0719E-01 / 2.0719E-01   2.3288E-01 / 2.3288E-01   46.45% / 46.45%
200   5.000E-03   1.6259E-01   1.6259E-01   1.6259E-01 / 1.6259E-01   2.4950E-01 / 2.4950E-01   46.45% / 46.45%
210   5.000E-03   1.5639E-01   1.5639E-01   1.5639E-01 / 1.5639E-01   2.6018E-01 / 2.6018E-01   47.74% / 47.74%
220   5.000E-03   1.5985E-01   1.5985E-01   1.5985E-01 / 1.5985E-01   2.7249E-01 / 2.7249E-01   47.74% / 47.74%
230   5.000E-03   1.4432E-01   1.4432E-01   1.4432E-01 / 1.4432E-01   2.5630E-01 / 2.5630E-01   47.74% / 47.74%
240   5.000E-03   1.3927E-01   1.3927E-01   1.3927E-01 / 1.3927E-01   2.7142E-01 / 2.7142E-01   47.10% / 47.10%
250   5.000E-03   1.3680E-01   1.3680E-01   1.3680E-01 / 1.3680E-01   2.9429E-01 / 2.9429E-01   47.10% / 47.10%
260   5.000E-03   1.3706E-01   1.3706E-01   1.3706E-01 / 1.3706E-01   2.8421E-01 / 2.8421E-01   47.10% / 47.10%
270   5.000E-03   1.2875E-01   1.2875E-01   1.2875E-01 / 1.2875E-01   2.9242E-01 / 2.9242E-01   47.74% / 47.74%
280   5.000E-03   1.2167E-01   1.2167E-01   1.2167E-01 / 1.2167E-01   2.9578E-01 / 2.9578E-01   47.10% / 47.10%
290   5.000E-03   1.2001E-01   1.2001E-01   1.2001E-01 / 1.2001E-01   3.1579E-01 / 3.1579E-01   47.74% / 47.74%
300   5.000E-03   1.9207E-01   1.9207E-01   1.9207E-01 / 1.9207E-01   3.3478E-01 / 3.3478E-01   48.39% / 48.39%
310   5.000E-03   1.1238E-01   1.1238E-01   1.1238E-01 / 1.1238E-01   3.2092E-01 / 3.2092E-01   47.74% / 47.74%
320   5.000E-03   1.0597E-01   1.0597E-01   1.0597E-01 / 1.0597E-01   3.1714E-01 / 3.1714E-01   47.74% / 47.74%
330   5.000E-03   1.0864E-01   1.0864E-01   1.0864E-01 / 1.0864E-01   3.2833E-01 / 3.2833E-01   47.74% / 47.74%
340   5.000E-03   1.0429E-01   1.0429E-01   1.0429E-01 / 1.0429E-01   3.2613E-01 / 3.2613E-01   47.74% / 47.74%
350   5.000E-03   9.7889E-02   9.7889E-02   9.7889E-02 / 9.7889E-02   3.4153E-01 / 3.4153E-01   47.74% / 47.74%
360   5.000E-03   9.5710E-02   9.5710E-02   9.5710E-02 / 9.5710E-02   3.5184E-01 / 3.5184E-01   47.74% / 47.74%
370   5.000E-03   9.0695E-02   9.0695E-02   9.0695E-02 / 9.0695E-02   3.6613E-01 / 3.6613E-01   47.74% / 47.74%
380   5.000E-03   1.3454E-01   1.3454E-01   1.3454E-01 / 1.3454E-01   3.5905E-01 / 3.5905E-01   47.74% / 47.74%
390   5.000E-03   9.0700E-02   9.0700E-02   9.0700E-02 / 9.0700E-02   3.6505E-01 / 3.6505E-01   47.74% / 47.74%
400   5.000E-03   1.0131E-01   1.0131E-01   1.0131E-01 / 1.0131E-01   3.9664E-01 / 3.9664E-01   47.74% / 47.74%
410   5.000E-03   8.9566E-02   8.9566E-02   8.9566E-02 / 8.9566E-02   3.6266E-01 / 3.6266E-01   47.74% / 47.74%
420   5.000E-03   1.6882E-01   1.6882E-01   1.6882E-01 / 1.6882E-01   3.7429E-01 / 3.7429E-01   48.39% / 48.39%
430   5.000E-03   8.5014E-02   8.5014E-02   8.5014E-02 / 8.5014E-02   3.6973E-01 / 3.6973E-01   47.74% / 47.74%
440   5.000E-03   8.6760E-02   8.6760E-02   8.6760E-02 / 8.6760E-02   3.7825E-01 / 3.7825E-01   47.74% / 47.74%
450   5.000E-03   7.8047E-02   7.8047E-02   7.8047E-02 / 7.8047E-02   3.7768E-01 / 3.7768E-01   48.39% / 48.39%
460   5.000E-03   7.7168E-02   7.7168E-02   7.7168E-02 / 7.7168E-02   4.0403E-01 / 4.0403E-01   48.39% / 48.39%
