=====> WARNING: Training dataset length: 0, assuming memorization test!
========== Dataset info ==========
Dataset params: {'file': '/home/ryley/WDK/ML/dataset/turbulence_dataset_clean.csv', 'Cases': ['fp_2540'], 'val_set': ['fp_2540'], 'test_set': ['fp_2540'], 'data_loader': <class 'tbnn.dataloaders.aDataset'>}
Train/Valid/Test points: 155 / 155 / 155
Memorization?: True
Cluster training?: False
EPOCH     LR        TRAIN         VALID             MSE:T/V                  RL:T/V             %NR_t/%NR_v
===============================================================================================================
  1   5.000E-03   2.7629E+04   2.7629E+04   2.7629E+04 / 2.7629E+04   0.0000E+00 / 0.0000E+00   0.00% / 0.00%
 10   5.000E-03   2.4883E+04   2.4883E+04   2.4883E+04 / 2.4883E+04   0.0000E+00 / 0.0000E+00   0.00% / 0.00%
 20   5.000E-03   7.1314E+03   7.1314E+03   7.1314E+03 / 7.1314E+03   0.0000E+00 / 0.0000E+00   0.00% / 0.00%
 30   5.000E-03   2.3884E+03   2.3884E+03   2.3884E+03 / 2.3884E+03   4.0637E-03 / 4.0637E-03   23.23% / 23.23%
 40   5.000E-03   1.2624E+03   1.2624E+03   1.2624E+03 / 1.2624E+03   1.7486E-02 / 1.7486E-02   29.68% / 29.68%
 50   5.000E-03   1.1419E+03   1.1419E+03   1.1419E+03 / 1.1419E+03   1.9708E-02 / 1.9708E-02   28.39% / 28.39%
 60   5.000E-03   1.0735E+03   1.0735E+03   1.0735E+03 / 1.0735E+03   2.1802E-02 / 2.1802E-02   29.03% / 29.03%
 70   5.000E-03   9.6914E+02   9.6914E+02   9.6914E+02 / 9.6914E+02   2.1581E-02 / 2.1581E-02   29.68% / 29.68%
 80   5.000E-03   9.0691E+02   9.0691E+02   9.0691E+02 / 9.0691E+02   1.9862E-02 / 1.9862E-02   28.39% / 28.39%
 90   5.000E-03   8.5500E+02   8.5500E+02   8.5500E+02 / 8.5500E+02   2.0468E-02 / 2.0468E-02   28.39% / 28.39%
100   5.000E-03   8.0328E+02   8.0328E+02   8.0328E+02 / 8.0328E+02   2.2444E-02 / 2.2444E-02   28.39% / 28.39%
110   5.000E-03   7.5039E+02   7.5039E+02   7.5039E+02 / 7.5039E+02   2.4861E-02 / 2.4861E-02   28.39% / 28.39%
120   5.000E-03   6.9191E+02   6.9191E+02   6.9191E+02 / 6.9191E+02   2.6528E-02 / 2.6528E-02   29.03% / 29.03%
130   5.000E-03   6.1873E+02   6.1873E+02   6.1873E+02 / 6.1873E+02   2.7660E-02 / 2.7660E-02   29.68% / 29.68%
140   5.000E-03   5.1322E+02   5.1322E+02   5.1322E+02 / 5.1322E+02   2.7484E-02 / 2.7484E-02   30.32% / 30.32%
150   5.000E-03   3.4275E+02   3.4275E+02   3.4275E+02 / 3.4275E+02   2.4714E-02 / 2.4714E-02   30.32% / 30.32%
