=====> WARNING: Training dataset length: 0, assuming memorization test!
========== Dataset info ==========
Dataset params: {'file': '/home/ryley/WDK/ML/dataset/turbulence_dataset_clean.csv', 'Cases': ['fp_2540'], 'val_set': ['fp_2540'], 'test_set': ['fp_2540'], 'data_loader': <class 'tbnn.dataloaders.aDataset'>}
Train/Valid/Test points: 155 / 155 / 155
Memorization?: True
Cluster training?: False
EPOCH     LR        TRAIN         VALID             MSE:T/V                  RL:T/V             %NR_t/%NR_v
===============================================================================================================
  1   1.000E-03   2.7751E+04   2.7751E+04   2.7751E+04 / 2.7751E+04   0.0000E+00 / 0.0000E+00   0.00% / 0.00%
 10   1.000E-03   2.7465E+04   2.7465E+04   2.7465E+04 / 2.7465E+04   0.0000E+00 / 0.0000E+00   0.00% / 0.00%
 20   1.000E-03   2.7071E+04   2.7071E+04   2.7071E+04 / 2.7071E+04   0.0000E+00 / 0.0000E+00   0.00% / 0.00%
 30   1.000E-03   2.6421E+04   2.6421E+04   2.6421E+04 / 2.6421E+04   0.0000E+00 / 0.0000E+00   0.00% / 0.00%
 40   1.000E-03   2.4879E+04   2.4879E+04   2.4879E+04 / 2.4879E+04   0.0000E+00 / 0.0000E+00   0.00% / 0.00%
 50   1.000E-03   1.9661E+04   1.9661E+04   1.9661E+04 / 1.9661E+04   0.0000E+00 / 0.0000E+00   0.00% / 0.00%
 60   1.000E-03   1.0982E+04   1.0982E+04   1.0982E+04 / 1.0982E+04   0.0000E+00 / 0.0000E+00   0.00% / 0.00%
 70   1.000E-03   4.1176E+03   4.1176E+03   4.1176E+03 / 4.1176E+03   0.0000E+00 / 0.0000E+00   0.00% / 0.00%
 80   1.000E-03   2.3655E+03   2.3655E+03   2.3655E+03 / 2.3655E+03   3.7980E-04 / 3.7980E-04   15.48% / 15.48%
 90   1.000E-03   1.6258E+03   1.6258E+03   1.6258E+03 / 1.6258E+03   2.2859E-03 / 2.2859E-03   21.94% / 21.94%
100   1.000E-03   1.3691E+03   1.3691E+03   1.3691E+03 / 1.3691E+03   4.9226E-03 / 4.9226E-03   25.16% / 25.16%
110   1.000E-03   1.2634E+03   1.2634E+03   1.2634E+03 / 1.2634E+03   6.6624E-03 / 6.6624E-03   25.81% / 25.81%
120   1.000E-03   1.2025E+03   1.2025E+03   1.2025E+03 / 1.2025E+03   7.7257E-03 / 7.7257E-03   25.81% / 25.81%
130   1.000E-03   1.1562E+03   1.1562E+03   1.1562E+03 / 1.1562E+03   9.1707E-03 / 9.1707E-03   26.45% / 26.45%
140   1.000E-03   1.1181E+03   1.1181E+03   1.1181E+03 / 1.1181E+03   1.0656E-02 / 1.0656E-02   26.45% / 26.45%
150   1.000E-03   1.0870E+03   1.0870E+03   1.0870E+03 / 1.0870E+03   1.1941E-02 / 1.1941E-02   26.45% / 26.45%
160   1.000E-03   1.0605E+03   1.0605E+03   1.0605E+03 / 1.0605E+03   1.2912E-02 / 1.2912E-02   26.45% / 26.45%
170   1.000E-03   1.0371E+03   1.0371E+03   1.0371E+03 / 1.0371E+03   1.3815E-02 / 1.3815E-02   27.10% / 27.10%
180   1.000E-03   1.0155E+03   1.0155E+03   1.0155E+03 / 1.0155E+03   1.4589E-02 / 1.4589E-02   27.10% / 27.10%
190   1.000E-03   9.9513E+02   9.9513E+02   9.9513E+02 / 9.9513E+02   1.5250E-02 / 1.5250E-02   27.10% / 27.10%
200   1.000E-03   9.7550E+02   9.7550E+02   9.7550E+02 / 9.7550E+02   1.5900E-02 / 1.5900E-02   27.10% / 27.10%
210   1.000E-03   9.5639E+02   9.5639E+02   9.5639E+02 / 9.5639E+02   1.6554E-02 / 1.6554E-02   27.10% / 27.10%
220   1.000E-03   9.3768E+02   9.3768E+02   9.3768E+02 / 9.3768E+02   1.7190E-02 / 1.7190E-02   26.45% / 26.45%
230   1.000E-03   9.1930E+02   9.1930E+02   9.1930E+02 / 9.1930E+02   1.7816E-02 / 1.7816E-02   27.10% / 27.10%
240   1.000E-03   9.0120E+02   9.0120E+02   9.0120E+02 / 9.0120E+02   1.8438E-02 / 1.8438E-02   27.10% / 27.10%
250   1.000E-03   8.8331E+02   8.8331E+02   8.8331E+02 / 8.8331E+02   1.9049E-02 / 1.9049E-02   27.10% / 27.10%
260   1.000E-03   8.6557E+02   8.6557E+02   8.6557E+02 / 8.6557E+02   1.9651E-02 / 1.9651E-02   27.10% / 27.10%
270   1.000E-03   8.4794E+02   8.4794E+02   8.4794E+02 / 8.4794E+02   2.0238E-02 / 2.0238E-02   27.10% / 27.10%
280   1.000E-03   8.3033E+02   8.3033E+02   8.3033E+02 / 8.3033E+02   2.0805E-02 / 2.0805E-02   27.10% / 27.10%
