=====> WARNING: Training dataset length: 0, assuming memorization test!
========== Dataset info ==========
Dataset params: {'file': '/home/ryley/WDK/ML/dataset/turbulence_dataset_clean.csv', 'Cases': ['fp_3630'], 'val_set': ['fp_3630'], 'test_set': ['fp_3630'], 'data_loader': <class 'tbnn.dataloaders.aDataset'>}
Train/Valid/Test points: 168 / 168 / 168
Memorization?: True
Cluster training?: False
EPOCH     LR        TRAIN         VALID             MSE:T/V                  RL:T/V             %NR_t/%NR_v
===============================================================================================================
  1   5.000E-04   2.9072E+04   2.9072E+04   2.9072E+04 / 2.9072E+04   0.0000E+00 / 0.0000E+00   0.00% / 0.00%
 10   5.000E-04   2.8857E+04   2.8857E+04   2.8857E+04 / 2.8857E+04   0.0000E+00 / 0.0000E+00   0.00% / 0.00%
 20   5.000E-04   2.8578E+04   2.8578E+04   2.8578E+04 / 2.8578E+04   0.0000E+00 / 0.0000E+00   0.00% / 0.00%
 30   5.000E-04   2.8244E+04   2.8244E+04   2.8244E+04 / 2.8244E+04   0.0000E+00 / 0.0000E+00   0.00% / 0.00%
 40   5.000E-04   2.7898E+04   2.7898E+04   2.7898E+04 / 2.7898E+04   0.0000E+00 / 0.0000E+00   0.00% / 0.00%
 50   5.000E-04   2.7430E+04   2.7430E+04   2.7430E+04 / 2.7430E+04   0.0000E+00 / 0.0000E+00   0.00% / 0.00%
 60   5.000E-04   2.6311E+04   2.6311E+04   2.6311E+04 / 2.6311E+04   0.0000E+00 / 0.0000E+00   0.00% / 0.00%
 70   5.000E-04   2.3720E+04   2.3720E+04   2.3720E+04 / 2.3720E+04   0.0000E+00 / 0.0000E+00   0.00% / 0.00%
 80   5.000E-04   1.6370E+04   1.6370E+04   1.6370E+04 / 1.6370E+04   0.0000E+00 / 0.0000E+00   0.00% / 0.00%
 90   5.000E-04   6.8380E+03   6.8380E+03   6.8380E+03 / 6.8380E+03   0.0000E+00 / 0.0000E+00   0.00% / 0.00%
100   5.000E-04   4.3260E+03   4.3260E+03   4.3260E+03 / 4.3260E+03   3.3401E-08 / 3.3401E-08   1.79% / 1.79%
110   5.000E-04   3.4808E+03   3.4808E+03   3.4808E+03 / 3.4808E+03   2.0777E-05 / 2.0777E-05   7.74% / 7.74%
120   5.000E-04   3.0181E+03   3.0181E+03   3.0181E+03 / 3.0181E+03   8.4269E-05 / 8.4269E-05   11.31% / 11.31%
130   5.000E-04   2.6571E+03   2.6571E+03   2.6571E+03 / 2.6571E+03   1.8282E-04 / 1.8282E-04   13.10% / 13.10%
140   5.000E-04   2.2910E+03   2.2910E+03   2.2910E+03 / 2.2910E+03   4.0761E-04 / 4.0761E-04   15.48% / 15.48%
150   5.000E-04   1.9182E+03   1.9182E+03   1.9182E+03 / 1.9182E+03   1.1715E-03 / 1.1715E-03   19.64% / 19.64%
160   5.000E-04   1.6695E+03   1.6695E+03   1.6695E+03 / 1.6695E+03   1.5705E-03 / 1.5705E-03   20.83% / 20.83%
170   5.000E-04   1.5707E+03   1.5707E+03   1.5707E+03 / 1.5707E+03   1.8648E-03 / 1.8648E-03   21.43% / 21.43%
180   5.000E-04   1.5072E+03   1.5072E+03   1.5072E+03 / 1.5072E+03   2.1478E-03 / 2.1478E-03   21.43% / 21.43%
190   5.000E-04   1.4760E+03   1.4760E+03   1.4760E+03 / 1.4760E+03   2.4304E-03 / 2.4304E-03   21.43% / 21.43%
200   5.000E-04   1.4099E+03   1.4099E+03   1.4099E+03 / 1.4099E+03   2.7060E-03 / 2.7060E-03   22.02% / 22.02%
210   5.000E-04   1.3685E+03   1.3685E+03   1.3685E+03 / 1.3685E+03   3.0116E-03 / 3.0116E-03   22.62% / 22.62%
220   5.000E-04   1.6079E+03   1.6079E+03   1.6079E+03 / 1.6079E+03   2.8964E-03 / 2.8964E-03   22.02% / 22.02%
230   5.000E-04   1.5525E+03   1.5525E+03   1.5525E+03 / 1.5525E+03   3.7610E-03 / 3.7610E-03   23.21% / 23.21%
240   5.000E-04   3.9009E+03   3.9009E+03   3.9009E+03 / 3.9009E+03   4.8518E-03 / 4.8518E-03   24.40% / 24.40%
250   5.000E-04   1.2589E+03   1.2589E+03   1.2589E+03 / 1.2589E+03   3.5644E-03 / 3.5644E-03   22.62% / 22.62%
260   5.000E-04   9.0179E+03   9.0179E+03   9.0179E+03 / 9.0179E+03   7.2838E-04 / 7.2838E-04   17.26% / 17.26%
270   5.000E-04   2.8142E+03   2.8142E+03   2.8142E+03 / 2.8142E+03   1.6311E-03 / 1.6311E-03   21.43% / 21.43%
280   5.000E-04   1.2857E+03   1.2857E+03   1.2857E+03 / 1.2857E+03   1.9638E-03 / 1.9638E-03   20.24% / 20.24%
290   5.000E-04   1.3595E+03   1.3595E+03   1.3595E+03 / 1.3595E+03   2.4794E-03 / 2.4794E-03   21.43% / 21.43%
300   5.000E-04   1.2166E+03   1.2166E+03   1.2166E+03 / 1.2166E+03   2.5089E-03 / 2.5089E-03   21.43% / 21.43%
310   5.000E-04   1.7676E+03   1.7676E+03   1.7676E+03 / 1.7676E+03   3.4271E-03 / 3.4271E-03   22.02% / 22.02%
320   5.000E-04   1.2681E+03   1.2681E+03   1.2681E+03 / 1.2681E+03   3.2988E-03 / 3.2988E-03   21.43% / 21.43%
330   5.000E-04   1.1565E+03   1.1565E+03   1.1565E+03 / 1.1565E+03   3.5514E-03 / 3.5514E-03   21.43% / 21.43%
340   5.000E-04   1.1251E+03   1.1251E+03   1.1251E+03 / 1.1251E+03   3.7119E-03 / 3.7119E-03   22.02% / 22.02%
