=====> WARNING: Training dataset length: 0, assuming memorization test!
========== Dataset info ==========
Dataset params: {'file': '/home/ryley/WDK/ML/dataset/turbulence_dataset_clean.csv', 'Cases': ['case_1p2'], 'val_set': ['case_1p2'], 'test_set': ['case_1p2'], 'data_loader': <class 'tbnn.dataloaders.aDataset'>}
Train/Valid/Test points: 14751 / 14751 / 14751
Memorization?: True
Cluster training?: False
EPOCH     LR        TRAIN         VALID             MSE:T/V                  RL:T/V             %NR_t/%NR_v
===============================================================================================================
  1   1.000E-04   2.1083E-07   2.1083E-07   1.2385E-02 / 1.2385E-02   1.1647E-06 / 1.1647E-06   0.16% / 0.16%
 10   1.000E-04   1.3758E-07   1.3758E-07   9.1099E-03 / 9.1099E-03   1.1100E-06 / 1.1100E-06   0.19% / 0.19%
 20   1.000E-04   1.1902E-07   1.1902E-07   7.9414E-03 / 7.9414E-03   1.0338E-06 / 1.0338E-06   0.17% / 0.17%
 30   1.000E-04   1.1155E-07   1.1155E-07   7.2864E-03 / 7.2864E-03   1.0609E-06 / 1.0609E-06   0.20% / 0.20%
 40   1.000E-04   1.0346E-07   1.0346E-07   6.6000E-03 / 6.6000E-03   3.6085E-06 / 3.6085E-06   1.91% / 1.91%
 50   1.000E-04   9.9443E-08   9.9443E-08   6.3707E-03 / 6.3707E-03   2.4889E-05 / 2.4889E-05   3.36% / 3.36%
 60   1.000E-04   9.5180E-08   9.5180E-08   6.1926E-03 / 6.1926E-03   3.1172E-05 / 3.1172E-05   3.57% / 3.57%
 70   1.000E-04   8.7006E-08   8.7006E-08   5.9153E-03 / 5.9153E-03   3.3232E-05 / 3.3232E-05   3.84% / 3.84%
 80   1.000E-04   7.4665E-08   7.4665E-08   5.5321E-03 / 5.5321E-03   3.7347E-05 / 3.7347E-05   3.91% / 3.91%
 90   1.000E-04   6.8265E-08   6.8265E-08   5.2473E-03 / 5.2473E-03   4.5752E-05 / 4.5752E-05   4.16% / 4.16%
100   1.000E-04   6.4387E-08   6.4387E-08   5.0131E-03 / 5.0131E-03   4.7797E-05 / 4.7797E-05   4.11% / 4.11%
110   1.000E-04   6.1332E-08   6.1332E-08   4.8261E-03 / 4.8261E-03   5.0452E-05 / 5.0452E-05   4.18% / 4.18%
120   1.000E-04   5.8879E-08   5.8879E-08   4.6848E-03 / 4.6848E-03   4.9777E-05 / 4.9777E-05   4.62% / 4.62%
130   1.000E-04   5.6804E-08   5.6804E-08   4.5714E-03 / 4.5714E-03   5.1981E-05 / 5.1981E-05   5.02% / 5.02%
140   1.000E-04   5.4975E-08   5.4975E-08   4.4798E-03 / 4.4798E-03   5.2880E-05 / 5.2880E-05   5.15% / 5.15%
150   1.000E-04   5.3305E-08   5.3305E-08   4.4016E-03 / 4.4016E-03   5.3079E-05 / 5.3079E-05   5.23% / 5.23%
160   1.000E-04   5.1745E-08   5.1745E-08   4.3308E-03 / 4.3308E-03   5.2744E-05 / 5.2744E-05   5.25% / 5.25%
170   1.000E-04   5.0263E-08   5.0263E-08   4.2650E-03 / 4.2650E-03   5.2706E-05 / 5.2706E-05   5.33% / 5.33%
180   1.000E-04   4.8832E-08   4.8832E-08   4.2047E-03 / 4.2047E-03   5.0998E-05 / 5.0998E-05   5.34% / 5.34%
190   1.000E-04   4.7440E-08   4.7440E-08   4.1480E-03 / 4.1480E-03   4.8049E-05 / 4.8049E-05   5.31% / 5.31%
200   1.000E-04   4.6079E-08   4.6079E-08   4.0935E-03 / 4.0935E-03   4.4844E-05 / 4.4844E-05   5.24% / 5.24%
210   1.000E-04   4.4751E-08   4.4751E-08   4.0389E-03 / 4.0389E-03   4.2799E-05 / 4.2799E-05   5.27% / 5.27%
220   1.000E-04   4.3470E-08   4.3470E-08   3.9882E-03 / 3.9882E-03   3.8615E-05 / 3.8615E-05   5.15% / 5.15%
230   1.000E-04   4.2265E-08   4.2265E-08   3.9383E-03 / 3.9383E-03   3.6168E-05 / 3.6168E-05   5.13% / 5.13%
240   1.000E-04   4.1161E-08   4.1161E-08   3.8923E-03 / 3.8923E-03   3.3265E-05 / 3.3265E-05   5.06% / 5.06%
250   1.000E-04   4.0185E-08   4.0185E-08   3.8490E-03 / 3.8490E-03   3.1716E-05 / 3.1716E-05   5.05% / 5.05%
260   1.000E-04   3.9342E-08   3.9342E-08   3.8122E-03 / 3.8122E-03   2.9349E-05 / 2.9349E-05   4.89% / 4.89%
270   1.000E-04   3.8628E-08   3.8628E-08   3.7786E-03 / 3.7786E-03   2.8865E-05 / 2.8865E-05   4.93% / 4.93%
280   1.000E-04   3.8013E-08   3.8013E-08   3.7513E-03 / 3.7513E-03   2.6413E-05 / 2.6413E-05   4.79% / 4.79%
