=====> WARNING: Training dataset length: 0, assuming memorization test!
========== Dataset info ==========
Dataset params: {'file': '/home/ryley/WDK/ML/dataset/turbulence_dataset_clean.csv', 'Cases': ['case_1p2'], 'val_set': ['case_1p2'], 'test_set': ['case_1p2'], 'data_loader': <class 'tbnn.dataloaders.aDataset'>}
Train/Valid/Test points: 14751 / 14751 / 14751
Memorization?: True
Cluster training?: False
EPOCH     LR        TRAIN         VALID             MSE:T/V                  RL:T/V             %NR_t/%NR_v
===============================================================================================================
  1   1.000E-04   3.6268E+00   3.6268E+00   3.6000E+00 / 3.6000E+00   1.1252E-06 / 1.1252E-06   0.17% / 0.17%
 10   1.000E-04   1.9996E+00   1.9996E+00   1.9698E+00 / 1.9698E+00   1.2077E-06 / 1.2077E-06   0.20% / 0.20%
 20   1.000E-04   1.8905E+00   1.8905E+00   1.8625E+00 / 1.8625E+00   1.1760E-06 / 1.1760E-06   0.20% / 0.20%
 30   1.000E-04   1.8065E+00   1.8065E+00   1.7754E+00 / 1.7754E+00   1.3895E-06 / 1.3895E-06   0.19% / 0.19%
 40   1.000E-04   1.7499E+00   1.7499E+00   1.7111E+00 / 1.7111E+00   1.7964E-06 / 1.7964E-06   0.27% / 0.27%
 50   1.000E-04   1.7238E+00   1.7238E+00   1.6807E+00 / 1.6807E+00   2.0326E-06 / 2.0326E-06   0.28% / 0.28%
 60   1.000E-04   1.6951E+00   1.6951E+00   1.6493E+00 / 1.6493E+00   2.1991E-06 / 2.1991E-06   0.26% / 0.26%
 70   1.000E-04   1.4904E+00   1.4904E+00   1.4210E+00 / 1.4210E+00   2.8764E-06 / 2.8764E-06   0.37% / 0.37%
 80   1.000E-04   1.3729E+00   1.3729E+00   1.2888E+00 / 1.2888E+00   3.2311E-06 / 3.2311E-06   0.48% / 0.48%
 90   1.000E-04   1.2743E+00   1.2743E+00   1.1911E+00 / 1.1911E+00   3.2767E-06 / 3.2767E-06   0.40% / 0.40%
100   1.000E-04   1.1837E+00   1.1837E+00   1.0969E+00 / 1.0969E+00   3.3932E-06 / 3.3932E-06   0.40% / 0.40%
110   1.000E-04   1.0856E+00   1.0856E+00   1.0203E+00 / 1.0203E+00   2.6795E-06 / 2.6795E-06   0.37% / 0.37%
120   1.000E-04   9.9968E-01   9.9968E-01   9.5094E-01 / 9.5094E-01   2.0751E-06 / 2.0751E-06   0.37% / 0.37%
130   1.000E-04   9.5405E-01   9.5405E-01   9.1399E-01 / 9.1399E-01   1.7538E-06 / 1.7538E-06   0.42% / 0.42%
140   1.000E-04   8.8578E-01   8.8578E-01   8.5445E-01 / 8.5445E-01   1.4411E-06 / 1.4411E-06   0.31% / 0.31%
150   1.000E-04   8.4730E-01   8.4730E-01   8.1938E-01 / 8.1938E-01   1.3035E-06 / 1.3035E-06   0.31% / 0.31%
160   1.000E-04   8.2288E-01   8.2288E-01   7.9765E-01 / 7.9765E-01   1.1634E-06 / 1.1634E-06   0.32% / 0.32%
170   1.000E-04   8.0441E-01   8.0441E-01   7.7964E-01 / 7.7964E-01   1.1606E-06 / 1.1606E-06   0.34% / 0.34%
180   1.000E-04   7.8396E-01   7.8396E-01   7.6451E-01 / 7.6451E-01   9.4105E-07 / 9.4105E-07   0.28% / 0.28%
190   1.000E-04   7.7219E-01   7.7219E-01   7.5250E-01 / 7.5250E-01   9.1952E-07 / 9.1952E-07   0.30% / 0.30%
200   1.000E-04   7.5795E-01   7.5795E-01   7.4032E-01 / 7.4032E-01   7.8733E-07 / 7.8733E-07   0.25% / 0.25%
210   1.000E-04   7.3996E-01   7.3996E-01   7.2449E-01 / 7.2449E-01   6.9849E-07 / 6.9849E-07   0.23% / 0.23%
220   1.000E-04   7.2918E-01   7.2918E-01   7.1533E-01 / 7.1533E-01   6.3556E-07 / 6.3556E-07   0.19% / 0.19%
230   1.000E-04   7.2102E-01   7.2102E-01   7.0757E-01 / 7.0757E-01   5.9305E-07 / 5.9305E-07   0.22% / 0.22%
240   1.000E-04   7.0325E-01   7.0325E-01   6.8873E-01 / 6.8873E-01   6.1547E-07 / 6.1547E-07   0.22% / 0.22%
250   1.000E-04   6.9411E-01   6.9411E-01   6.7678E-01 / 6.7678E-01   7.1997E-07 / 7.1997E-07   0.26% / 0.26%
260   1.000E-04   6.8292E-01   6.8292E-01   6.7077E-01 / 6.7077E-01   5.1675E-07 / 5.1675E-07   0.21% / 0.21%
270   1.000E-04   6.7722E-01   6.7722E-01   6.6607E-01 / 6.6607E-01   4.5354E-07 / 4.5354E-07   0.20% / 0.20%
280   1.000E-04   6.6708E-01   6.6708E-01   6.5605E-01 / 6.5605E-01   4.4335E-07 / 4.4335E-07   0.21% / 0.21%
290   1.000E-04   6.6198E-01   6.6198E-01   6.5187E-01 / 6.5187E-01   4.1100E-07 / 4.1100E-07   0.20% / 0.20%
300   1.000E-04   6.4778E-01   6.4778E-01   6.3701E-01 / 6.3701E-01   4.2277E-07 / 4.2277E-07   0.22% / 0.22%
310   1.000E-04   6.4250E-01   6.4250E-01   6.3446E-01 / 6.3446E-01   3.2090E-07 / 3.2090E-07   0.16% / 0.16%
320   1.000E-04   6.3558E-01   6.3558E-01   6.2712E-01 / 6.2712E-01   3.3345E-07 / 3.3345E-07   0.18% / 0.18%
330   1.000E-04   6.2532E-01   6.2532E-01   6.1502E-01 / 6.1502E-01   3.9251E-07 / 3.9251E-07   0.22% / 0.22%
340   1.000E-04   6.2055E-01   6.2055E-01   6.1221E-01 / 6.1221E-01   3.2201E-07 / 3.2201E-07   0.20% / 0.20%
350   1.000E-04   6.0858E-01   6.0858E-01   6.0014E-01 / 6.0014E-01   3.1955E-07 / 3.1955E-07   0.21% / 0.21%
360   1.000E-04   6.0192E-01   6.0192E-01   5.9392E-01 / 5.9392E-01   2.9871E-07 / 2.9871E-07   0.20% / 0.20%
370   1.000E-04   6.0208E-01   6.0208E-01   5.9522E-01 / 5.9522E-01   2.4018E-07 / 2.4018E-07   0.16% / 0.16%
380   1.000E-04   5.9136E-01   5.9136E-01   5.7609E-01 / 5.7609E-01   5.5990E-07 / 5.5990E-07   0.41% / 0.41%
390   1.000E-04   5.8218E-01   5.8218E-01   5.7299E-01 / 5.7299E-01   3.4915E-07 / 3.4915E-07   0.30% / 0.30%
400   1.000E-04   5.7139E-01   5.7139E-01   5.6368E-01 / 5.6368E-01   2.7964E-07 / 2.7964E-07   0.24% / 0.24%
410   1.000E-04   5.6735E-01   5.6735E-01   5.5964E-01 / 5.5964E-01   2.7998E-07 / 2.7998E-07   0.28% / 0.28%
420   1.000E-04   5.6004E-01   5.6004E-01   5.5482E-01 / 5.5482E-01   1.7915E-07 / 1.7915E-07   0.14% / 0.14%
430   1.000E-04   5.5116E-01   5.5116E-01   5.4581E-01 / 5.4581E-01   1.8730E-07 / 1.8730E-07   0.20% / 0.20%
440   1.000E-04   5.4210E-01   5.4210E-01   5.3721E-01 / 5.3721E-01   1.6338E-07 / 1.6338E-07   0.16% / 0.16%
450   1.000E-04   5.3966E-01   5.3966E-01   5.3259E-01 / 5.3259E-01   2.5785E-07 / 2.5785E-07   0.30% / 0.30%
460   1.000E-04   5.2935E-01   5.2935E-01   5.2467E-01 / 5.2467E-01   1.6522E-07 / 1.6522E-07   0.16% / 0.16%
470   1.000E-04   5.2528E-01   5.2528E-01   5.2072E-01 / 5.2072E-01   1.5302E-07 / 1.5302E-07   0.14% / 0.14%
480   1.000E-04   5.2428E-01   5.2428E-01   5.1899E-01 / 5.1899E-01   1.9063E-07 / 1.9063E-07   0.20% / 0.20%
490   1.000E-04   5.1342E-01   5.1342E-01   5.0882E-01 / 5.0882E-01   1.5212E-07 / 1.5212E-07   0.12% / 0.12%
