=====> WARNING: Training dataset length: 0, assuming memorization test!
========== Dataset info ==========
Dataset params: {'file': '/home/ryley/WDK/ML/dataset/turbulence_dataset_clean.csv', 'Cases': ['case_1p2'], 'val_set': ['case_1p2'], 'test_set': ['case_1p2'], 'data_loader': <class 'tbnn.dataloaders.aDataset'>}
Train/Valid/Test points: 14751 / 14751 / 14751
Memorization?: True
Cluster training?: False
EPOCH     LR        TRAIN         VALID             MSE:T/V                  RL:T/V             %NR_t/%NR_v
===============================================================================================================
  1   2.000E-04   3.5362E+00   3.5362E+00   3.5362E+00 / 3.5362E+00   1.1230E-06 / 1.1230E-06   0.18% / 0.18%
 10   2.000E-04   1.8671E+00   1.8671E+00   1.8671E+00 / 1.8671E+00   1.6367E-06 / 1.6367E-06   0.25% / 0.25%
 20   2.000E-04   1.4723E+00   1.4723E+00   1.4723E+00 / 1.4723E+00   6.0769E-05 / 6.0769E-05   3.46% / 3.46%
 30   2.000E-04   1.1024E+00   1.1024E+00   1.1024E+00 / 1.1024E+00   2.8438E-03 / 2.8438E-03   27.72% / 27.72%
 40   2.000E-04   9.4134E-01   9.4134E-01   9.4134E-01 / 9.4134E-01   1.0998E-02 / 1.0998E-02   33.93% / 33.93%
 50   2.000E-04   8.4784E-01   8.4784E-01   8.4784E-01 / 8.4784E-01   1.9480E-02 / 1.9480E-02   32.60% / 32.60%
 60   2.000E-04   7.3248E-01   7.3248E-01   7.3248E-01 / 7.3248E-01   3.1715E-02 / 3.1715E-02   30.98% / 30.98%
 70   2.000E-04   6.8043E-01   6.8043E-01   6.8043E-01 / 6.8043E-01   5.8532E-02 / 5.8532E-02   29.07% / 29.07%
 80   2.000E-04   6.5437E-01   6.5437E-01   6.5437E-01 / 6.5437E-01   8.4791E-02 / 8.4791E-02   29.22% / 29.22%
 90   2.000E-04   6.4861E-01   6.4861E-01   6.4861E-01 / 6.4861E-01   1.1744E-01 / 1.1744E-01   33.16% / 33.16%
100   2.000E-04   5.9393E-01   5.9393E-01   5.9393E-01 / 5.9393E-01   1.5431E-01 / 1.5431E-01   36.55% / 36.55%
110   2.000E-04   5.6534E-01   5.6534E-01   5.6534E-01 / 5.6534E-01   1.8325E-01 / 1.8325E-01   42.80% / 42.80%
120   2.000E-04   5.3217E-01   5.3217E-01   5.3217E-01 / 5.3217E-01   2.1907E-01 / 2.1907E-01   48.42% / 48.42%
130   2.000E-04   5.3045E-01   5.3045E-01   5.3045E-01 / 5.3045E-01   2.4066E-01 / 2.4066E-01   51.10% / 51.10%
140   2.000E-04   5.2014E-01   5.2014E-01   5.2014E-01 / 5.2014E-01   2.7350E-01 / 2.7350E-01   53.25% / 53.25%
150   2.000E-04   4.8712E-01   4.8712E-01   4.8712E-01 / 4.8712E-01   2.8806E-01 / 2.8806E-01   55.09% / 55.09%
160   2.000E-04   4.8537E-01   4.8537E-01   4.8537E-01 / 4.8537E-01   2.9903E-01 / 2.9903E-01   53.09% / 53.09%
170   2.000E-04   4.8694E-01   4.8694E-01   4.8694E-01 / 4.8694E-01   2.6621E-01 / 2.6621E-01   49.60% / 49.60%
180   2.000E-04   4.5275E-01   4.5275E-01   4.5275E-01 / 4.5275E-01   2.8601E-01 / 2.8601E-01   47.71% / 47.71%
190   2.000E-04   4.6009E-01   4.6009E-01   4.6009E-01 / 4.6009E-01   2.6445E-01 / 2.6445E-01   43.13% / 43.13%
200   2.000E-04   5.0618E-01   5.0618E-01   5.0618E-01 / 5.0618E-01   2.7628E-01 / 2.7628E-01   41.18% / 41.18%
210   2.000E-04   4.0609E-01   4.0609E-01   4.0609E-01 / 4.0609E-01   2.6838E-01 / 2.6838E-01   41.14% / 41.14%
220   2.000E-04   3.7724E-01   3.7724E-01   3.7724E-01 / 3.7724E-01   2.6007E-01 / 2.6007E-01   41.18% / 41.18%
230   2.000E-04   3.6621E-01   3.6621E-01   3.6621E-01 / 3.6621E-01   2.7505E-01 / 2.7505E-01   42.82% / 42.82%
240   2.000E-04   3.5683E-01   3.5683E-01   3.5683E-01 / 3.5683E-01   2.6377E-01 / 2.6377E-01   43.56% / 43.56%
250   2.000E-04   3.6514E-01   3.6514E-01   3.6514E-01 / 3.6514E-01   3.0743E-01 / 3.0743E-01   45.03% / 45.03%
