=====> WARNING: Training dataset length: 0, assuming memorization test!
========== Dataset info ==========
Dataset params: {'file': '/home/ryley/WDK/ML/dataset/turbulence_dataset_clean.csv', 'Cases': ['case_1p2'], 'val_set': ['case_1p2'], 'test_set': ['case_1p2'], 'data_loader': <class 'tbnn.dataloaders.aDataset'>}
Train/Valid/Test points: 14751 / 14751 / 14751
Memorization?: True
Cluster training?: False
EPOCH     LR        TRAIN         VALID             MSE:T/V                  RL:T/V             %NR_t/%NR_v
===============================================================================================================
  1   1.000E-03   1.9656E+00   1.9656E+00   1.9656E+00 / 1.9656E+00   1.9793E-06 / 1.9793E-06   0.28% / 0.28%
 10   1.000E-03   1.2703E+00   1.2703E+00   1.2703E+00 / 1.2703E+00   1.1697E-03 / 1.1697E-03   13.23% / 13.23%
 20   1.000E-03   4.6445E-01   4.6445E-01   4.6445E-01 / 4.6445E-01   9.6615E-03 / 9.6615E-03   25.27% / 25.27%
 30   1.000E-03   3.4035E-01   3.4035E-01   3.4035E-01 / 3.4035E-01   1.9780E-02 / 1.9780E-02   27.46% / 27.46%
 40   1.000E-03   2.7521E-01   2.7521E-01   2.7521E-01 / 2.7521E-01   3.0681E-02 / 3.0681E-02   33.14% / 33.14%
 50   1.000E-03   2.4825E-01   2.4825E-01   2.4825E-01 / 2.4825E-01   3.1382E-02 / 3.1382E-02   32.97% / 32.97%
 60   1.000E-03   2.1564E-01   2.1564E-01   2.1564E-01 / 2.1564E-01   4.0695E-02 / 4.0695E-02   35.69% / 35.69%
 70   1.000E-03   2.0307E-01   2.0307E-01   2.0307E-01 / 2.0307E-01   4.8208E-02 / 4.8208E-02   36.68% / 36.68%
 80   1.000E-03   1.5617E-01   1.5617E-01   1.5617E-01 / 1.5617E-01   5.4422E-02 / 5.4422E-02   38.59% / 38.59%
 90   1.000E-03   2.3718E-01   2.3718E-01   2.3718E-01 / 2.3718E-01   6.4283E-02 / 6.4283E-02   43.44% / 43.44%
100   1.000E-03   1.3765E-01   1.3765E-01   1.3765E-01 / 1.3765E-01   7.1644E-02 / 7.1644E-02   45.71% / 45.71%
110   1.000E-03   1.2347E-01   1.2347E-01   1.2347E-01 / 1.2347E-01   6.2038E-02 / 6.2038E-02   44.84% / 44.84%
120   1.000E-03   1.2767E-01   1.2767E-01   1.2767E-01 / 1.2767E-01   7.1446E-02 / 7.1446E-02   47.32% / 47.32%
130   1.000E-03   1.2433E-01   1.2433E-01   1.2433E-01 / 1.2433E-01   4.6333E-02 / 4.6333E-02   47.60% / 47.60%
140   1.000E-03   1.1792E-01   1.1792E-01   1.1792E-01 / 1.1792E-01   6.0893E-02 / 6.0893E-02   49.16% / 49.16%
150   1.000E-03   1.2966E-01   1.2966E-01   1.2966E-01 / 1.2966E-01   4.5451E-02 / 4.5451E-02   47.93% / 47.93%
160   1.000E-03   9.0947E-02   9.0947E-02   9.0947E-02 / 9.0947E-02   6.5341E-02 / 6.5341E-02   50.50% / 50.50%
170   1.000E-03   8.9827E-02   8.9827E-02   8.9827E-02 / 8.9827E-02   5.8732E-02 / 5.8732E-02   50.35% / 50.35%
180   1.000E-03   1.4381E-01   1.4381E-01   1.4381E-01 / 1.4381E-01   2.4561E-02 / 2.4561E-02   47.28% / 47.28%
190   1.000E-03   1.1163E-01   1.1163E-01   1.1163E-01 / 1.1163E-01   4.4519E-02 / 4.4519E-02   51.07% / 51.07%
200   1.000E-03   9.9733E-02   9.9733E-02   9.9733E-02 / 9.9733E-02   5.0687E-02 / 5.0687E-02   52.55% / 52.55%
210   1.000E-03   8.0496E-02   8.0496E-02   8.0496E-02 / 8.0496E-02   4.2794E-02 / 4.2794E-02   52.72% / 52.72%
220   1.000E-03   8.5549E-02   8.5549E-02   8.5549E-02 / 8.5549E-02   4.8117E-02 / 4.8117E-02   53.71% / 53.71%
230   1.000E-03   8.4303E-02   8.4303E-02   8.4303E-02 / 8.4303E-02   4.7187E-02 / 4.7187E-02   53.06% / 53.06%
240   1.000E-03   3.5215E-01   3.5215E-01   3.5215E-01 / 3.5215E-01   4.7224E-02 / 4.7224E-02   52.37% / 52.37%
250   1.000E-03   7.3578E-02   7.3578E-02   7.3578E-02 / 7.3578E-02   5.7884E-02 / 5.7884E-02   55.00% / 55.00%
260   1.000E-03   8.8302E-02   8.8302E-02   8.8302E-02 / 8.8302E-02   4.9713E-02 / 4.9713E-02   54.13% / 54.13%
270   1.000E-03   7.0866E-02   7.0866E-02   7.0866E-02 / 7.0866E-02   5.7773E-02 / 5.7773E-02   54.35% / 54.35%
280   1.000E-03   6.7275E-02   6.7275E-02   6.7275E-02 / 6.7275E-02   5.7619E-02 / 5.7619E-02   56.34% / 56.34%
290   1.000E-03   7.5783E-02   7.5783E-02   7.5783E-02 / 7.5783E-02   6.2415E-02 / 6.2415E-02   55.47% / 55.47%
300   1.000E-03   6.8870E-02   6.8870E-02   6.8870E-02 / 6.8870E-02   6.9002E-02 / 6.9002E-02   56.96% / 56.96%
310   1.000E-03   7.3902E-02   7.3902E-02   7.3902E-02 / 7.3902E-02   7.0504E-02 / 7.0504E-02   55.55% / 55.55%
320   1.000E-03   9.1203E-02   9.1203E-02   9.1203E-02 / 9.1203E-02   7.9380E-02 / 7.9380E-02   54.84% / 54.84%
330   1.000E-03   8.5785E-02   8.5785E-02   8.5785E-02 / 8.5785E-02   8.3734E-02 / 8.3734E-02   57.09% / 57.09%
340   1.000E-03   8.3097E-02   8.3097E-02   8.3097E-02 / 8.3097E-02   7.8026E-02 / 7.8026E-02   57.71% / 57.71%
350   1.000E-03   5.6666E-02   5.6666E-02   5.6666E-02 / 5.6666E-02   7.9722E-02 / 7.9722E-02   56.94% / 56.94%
360   1.000E-03   1.1541E-01   1.1541E-01   1.1541E-01 / 1.1541E-01   7.6508E-02 / 7.6508E-02   56.96% / 56.96%
370   1.000E-03   6.9798E-02   6.9798E-02   6.9798E-02 / 6.9798E-02   7.6208E-02 / 7.6208E-02   58.06% / 58.06%
380   1.000E-03   8.4383E-02   8.4383E-02   8.4383E-02 / 8.4383E-02   1.0255E-01 / 1.0255E-01   57.76% / 57.76%
390   1.000E-03   9.9602E-02   9.9602E-02   9.9602E-02 / 9.9602E-02   7.9925E-02 / 7.9925E-02   58.08% / 58.08%
400   1.000E-03   6.5521E-02   6.5521E-02   6.5521E-02 / 6.5521E-02   7.4799E-02 / 7.4799E-02   58.71% / 58.71%
410   1.000E-03   5.1687E-02   5.1687E-02   5.1687E-02 / 5.1687E-02   8.4913E-02 / 8.4913E-02   59.43% / 59.43%
420   1.000E-03   9.0035E-02   9.0035E-02   9.0035E-02 / 9.0035E-02   8.4961E-02 / 8.4961E-02   67.01% / 67.01%
430   1.000E-03   7.3569E-02   7.3569E-02   7.3569E-02 / 7.3569E-02   9.2934E-02 / 9.2934E-02   67.35% / 67.35%
440   1.000E-03   7.1177E-02   7.1177E-02   7.1177E-02 / 7.1177E-02   1.0054E-01 / 1.0054E-01   67.22% / 67.22%
450   1.000E-03   7.1014E-02   7.1014E-02   7.1014E-02 / 7.1014E-02   9.2076E-02 / 9.2076E-02   66.86% / 66.86%
BEST MODEL
===============================================================================================================
405   1.000E-03   4.6018E-02   4.6018E-02   4.6018E-02 / 4.6018E-02   8.8912E-02 / 8.8912E-02   59.65% / 59.65%
===============================================================================================================
Saved model to models/phll_memorization/TBNNiii-24Apr30_13:36:57.pickle
