=====> WARNING: Training dataset length: 0, assuming memorization test!
========== Dataset info ==========
Dataset params: {'file': '/home/ryley/WDK/ML/dataset/turbulence_dataset_clean.csv', 'Cases': ['case_1p2'], 'val_set': ['case_1p2'], 'test_set': ['case_1p2'], 'data_loader': <class 'tbnn.dataloaders.aDataset'>}
Train/Valid/Test points: 14751 / 14751 / 14751
Memorization?: True
EPOCH     LR        TRAIN         VALID             MSE:T/V                  RL:T/V             %NR_t/%NR_v
===============================================================================================================
  1   1.000E-04   6.9779E-03   6.9779E-03   6.9779E-03 / 6.9779E-03   1.7281E-09 / 1.7281E-09   0.02% / 0.02%
 10   1.000E-04   1.9630E-03   1.9630E-03   1.9526E-03 / 1.9526E-03   7.3533E-06 / 7.3533E-06   3.28% / 3.28%
 20   1.000E-04   1.3968E-03   1.3968E-03   1.3879E-03 / 1.3879E-03   6.2447E-06 / 6.2447E-06   1.34% / 1.34%
 30   1.000E-04   1.1613E-03   1.1613E-03   1.1578E-03 / 1.1578E-03   2.4425E-06 / 2.4425E-06   0.74% / 0.74%
 40   1.000E-04   1.0311E-03   1.0311E-03   1.0288E-03 / 1.0288E-03   1.6473E-06 / 1.6473E-06   0.82% / 0.82%
 50   1.000E-04   9.5394E-04   9.5394E-04   9.5210E-04 / 9.5210E-04   1.2898E-06 / 1.2898E-06   0.62% / 0.62%
 60   1.000E-04   8.9443E-04   8.9443E-04   8.9166E-04 / 8.9166E-04   1.9442E-06 / 1.9442E-06   0.75% / 0.75%
 70   1.000E-04   8.4412E-04   8.4412E-04   8.4241E-04 / 8.4241E-04   1.2008E-06 / 1.2008E-06   0.73% / 0.73%
 80   1.000E-04   8.0397E-04   8.0397E-04   8.0250E-04 / 8.0250E-04   1.0341E-06 / 1.0341E-06   0.83% / 0.83%
 90   1.000E-04   7.6704E-04   7.6704E-04   7.6572E-04 / 7.6572E-04   9.3395E-07 / 9.3395E-07   0.80% / 0.80%
100   1.000E-04   7.3611E-04   7.3611E-04   7.3468E-04 / 7.3468E-04   1.0053E-06 / 1.0053E-06   0.71% / 0.71%
110   1.000E-04   7.0556E-04   7.0556E-04   7.0458E-04 / 7.0458E-04   6.8903E-07 / 6.8903E-07   0.46% / 0.46%
120   1.000E-04   6.7932E-04   6.7932E-04   6.7855E-04 / 6.7855E-04   5.4863E-07 / 5.4863E-07   0.61% / 0.61%
130   1.000E-04   6.5455E-04   6.5455E-04   6.5375E-04 / 6.5375E-04   5.6655E-07 / 5.6655E-07   0.54% / 0.54%
140   1.000E-04   6.3029E-04   6.3029E-04   6.2953E-04 / 6.2953E-04   5.4057E-07 / 5.4057E-07   1.02% / 1.02%
150   1.000E-04   6.0834E-04   6.0834E-04   6.0778E-04 / 6.0778E-04   3.9415E-07 / 3.9415E-07   1.04% / 1.04%
160   1.000E-04   5.8880E-04   5.8880E-04   5.8840E-04 / 5.8840E-04   2.8188E-07 / 2.8188E-07   0.49% / 0.49%
170   1.000E-04   5.7216E-04   5.7216E-04   5.7163E-04 / 5.7163E-04   3.7186E-07 / 3.7186E-07   0.65% / 0.65%
180   1.000E-04   5.5220E-04   5.5220E-04   5.5179E-04 / 5.5179E-04   2.8205E-07 / 2.8205E-07   0.65% / 0.65%
190   1.000E-04   5.3747E-04   5.3747E-04   5.3684E-04 / 5.3684E-04   4.4371E-07 / 4.4371E-07   0.61% / 0.61%
200   1.000E-04   5.2650E-04   5.2650E-04   5.2613E-04 / 5.2613E-04   2.6042E-07 / 2.6042E-07   0.81% / 0.81%
210   1.000E-04   5.1022E-04   5.1022E-04   5.0908E-04 / 5.0908E-04   8.0230E-07 / 8.0230E-07   1.55% / 1.55%
220   1.000E-04   4.9768E-04   4.9768E-04   4.9655E-04 / 4.9655E-04   7.9607E-07 / 7.9607E-07   0.94% / 0.94%
230   1.000E-04   4.8683E-04   4.8683E-04   4.8649E-04 / 4.8649E-04   2.3672E-07 / 2.3672E-07   0.46% / 0.46%
240   1.000E-04   4.7608E-04   4.7608E-04   4.7582E-04 / 4.7582E-04   1.8583E-07 / 1.8583E-07   0.57% / 0.57%
250   1.000E-04   4.6532E-04   4.6532E-04   4.6510E-04 / 4.6510E-04   1.5452E-07 / 1.5452E-07   0.32% / 0.32%
260   1.000E-04   4.5421E-04   4.5421E-04   4.5359E-04 / 4.5359E-04   4.3694E-07 / 4.3694E-07   1.04% / 1.04%
270   1.000E-04   4.4629E-04   4.4629E-04   4.4619E-04 / 4.4619E-04   7.2999E-08 / 7.2999E-08   0.16% / 0.16%
280   1.000E-04   4.3506E-04   4.3506E-04   4.3473E-04 / 4.3473E-04   2.3192E-07 / 2.3192E-07   0.76% / 0.76%
290   1.000E-04   4.2847E-04   4.2847E-04   4.2828E-04 / 4.2828E-04   1.2855E-07 / 1.2855E-07   0.49% / 0.49%
300   1.000E-04   4.1950E-04   4.1950E-04   4.1943E-04 / 4.1943E-04   5.2885E-08 / 5.2885E-08   0.15% / 0.15%
310   1.000E-04   4.1297E-04   4.1297E-04   4.1253E-04 / 4.1253E-04   3.1334E-07 / 3.1334E-07   1.27% / 1.27%
320   1.000E-04   4.0677E-04   4.0677E-04   4.0672E-04 / 4.0672E-04   3.5690E-08 / 3.5690E-08   0.32% / 0.32%
330   1.000E-04   3.9837E-04   3.9837E-04   3.9804E-04 / 3.9804E-04   2.3394E-07 / 2.3394E-07   0.58% / 0.58%
340   1.000E-04   3.9221E-04   3.9221E-04   3.9216E-04 / 3.9216E-04   3.4782E-08 / 3.4782E-08   0.21% / 0.21%
350   1.000E-04   3.8456E-04   3.8456E-04   3.8448E-04 / 3.8448E-04   5.8709E-08 / 5.8709E-08   0.32% / 0.32%
360   1.000E-04   3.7687E-04   3.7687E-04   3.7674E-04 / 3.7674E-04   9.2620E-08 / 9.2620E-08   0.24% / 0.24%
370   1.000E-04   3.7109E-04   3.7109E-04   3.7095E-04 / 3.7095E-04   9.5632E-08 / 9.5632E-08   0.39% / 0.39%
380   1.000E-04   3.6824E-04   3.6824E-04   3.6811E-04 / 3.6811E-04   8.7647E-08 / 8.7647E-08   0.31% / 0.31%
390   1.000E-04   3.6149E-04   3.6149E-04   3.6131E-04 / 3.6131E-04   1.2667E-07 / 1.2667E-07   0.47% / 0.47%
400   1.000E-04   3.5566E-04   3.5566E-04   3.5553E-04 / 3.5553E-04   8.8805E-08 / 8.8805E-08   0.52% / 0.52%
410   1.000E-04   3.4994E-04   3.4994E-04   3.4982E-04 / 3.4982E-04   8.9150E-08 / 8.9150E-08   0.28% / 0.28%
420   1.000E-04   3.4702E-04   3.4702E-04   3.4673E-04 / 3.4673E-04   2.0806E-07 / 2.0806E-07   0.81% / 0.81%
430   1.000E-04   3.4174E-04   3.4174E-04   3.4162E-04 / 3.4162E-04   8.7893E-08 / 8.7893E-08   0.25% / 0.25%
440   1.000E-04   3.3540E-04   3.3540E-04   3.3524E-04 / 3.3524E-04   1.1639E-07 / 1.1639E-07   0.40% / 0.40%
450   1.000E-04   3.3138E-04   3.3138E-04   3.3135E-04 / 3.3135E-04   2.0023E-08 / 2.0023E-08   0.14% / 0.14%
460   1.000E-04   3.3344E-04   3.3344E-04   3.3270E-04 / 3.3270E-04   5.2416E-07 / 5.2416E-07   0.79% / 0.79%
470   1.000E-04   3.2473E-04   3.2473E-04   3.2430E-04 / 3.2430E-04   3.0191E-07 / 3.0191E-07   0.83% / 0.83%
480   1.000E-04   3.1894E-04   3.1894E-04   3.1881E-04 / 3.1881E-04   9.1762E-08 / 9.1762E-08   0.33% / 0.33%
490   1.000E-04   3.1620E-04   3.1620E-04   3.1549E-04 / 3.1549E-04   4.9865E-07 / 4.9865E-07   1.19% / 1.19%
500   1.000E-04   3.1154E-04   3.1154E-04   3.1141E-04 / 3.1141E-04   9.1972E-08 / 9.1972E-08   0.35% / 0.35%
510   1.000E-04   3.1036E-04   3.1036E-04   3.1008E-04 / 3.1008E-04   1.9241E-07 / 1.9241E-07   0.41% / 0.41%
520   1.000E-04   3.0425E-04   3.0425E-04   3.0412E-04 / 3.0412E-04   9.1333E-08 / 9.1333E-08   0.35% / 0.35%
530   1.000E-04   2.9903E-04   2.9903E-04   2.9889E-04 / 2.9889E-04   9.8352E-08 / 9.8352E-08   0.35% / 0.35%
540   1.000E-04   2.9567E-04   2.9567E-04   2.9561E-04 / 2.9561E-04   4.5194E-08 / 4.5194E-08   0.25% / 0.25%
550   1.000E-04   2.9450E-04   2.9450E-04   2.9424E-04 / 2.9424E-04   1.8658E-07 / 1.8658E-07   0.51% / 0.51%
560   1.000E-04   2.9365E-04   2.9365E-04   2.9347E-04 / 2.9347E-04   1.3194E-07 / 1.3194E-07   0.38% / 0.38%
570   1.000E-04   2.8561E-04   2.8561E-04   2.8545E-04 / 2.8545E-04   1.1482E-07 / 1.1482E-07   0.38% / 0.38%
580   1.000E-04   2.8251E-04   2.8251E-04   2.8245E-04 / 2.8245E-04   4.2789E-08 / 4.2789E-08   0.26% / 0.26%
590   1.000E-04   2.7823E-04   2.7823E-04   2.7806E-04 / 2.7806E-04   1.2110E-07 / 1.2110E-07   0.41% / 0.41%
600   1.000E-04   2.8032E-04   2.8032E-04   2.8021E-04 / 2.8021E-04   7.8438E-08 / 7.8438E-08   0.43% / 0.43%
610   1.000E-04   2.7295E-04   2.7295E-04   2.7282E-04 / 2.7282E-04   9.4894E-08 / 9.4894E-08   0.25% / 0.25%
620   1.000E-04   2.7155E-04   2.7155E-04   2.7151E-04 / 2.7151E-04   3.0235E-08 / 3.0235E-08   0.22% / 0.22%
630   1.000E-04   2.6796E-04   2.6796E-04   2.6789E-04 / 2.6789E-04   4.9505E-08 / 4.9505E-08   0.36% / 0.36%
640   1.000E-04   2.6490E-04   2.6490E-04   2.6481E-04 / 2.6481E-04   6.4748E-08 / 6.4748E-08   0.31% / 0.31%
650   1.000E-04   2.6276E-04   2.6276E-04   2.6250E-04 / 2.6250E-04   1.8202E-07 / 1.8202E-07   0.47% / 0.47%
660   1.000E-04   2.5922E-04   2.5922E-04   2.5918E-04 / 2.5918E-04   3.0210E-08 / 3.0210E-08   0.21% / 0.21%
670   1.000E-04   2.6354E-04   2.6354E-04   2.6287E-04 / 2.6287E-04   4.7410E-07 / 4.7410E-07   0.84% / 0.84%
680   1.000E-04   2.5524E-04   2.5524E-04   2.5504E-04 / 2.5504E-04   1.4075E-07 / 1.4075E-07   0.37% / 0.37%
690   1.000E-04   2.5942E-04   2.5942E-04   2.5873E-04 / 2.5873E-04   4.8096E-07 / 4.8096E-07   0.66% / 0.66%
700   1.000E-04   2.5322E-04   2.5322E-04   2.5287E-04 / 2.5287E-04   2.4145E-07 / 2.4145E-07   0.62% / 0.62%
710   1.000E-04   2.4824E-04   2.4824E-04   2.4822E-04 / 2.4822E-04   1.3329E-08 / 1.3329E-08   0.22% / 0.22%
720   1.000E-04   2.4666E-04   2.4666E-04   2.4611E-04 / 2.4611E-04   3.8445E-07 / 3.8445E-07   0.53% / 0.53%
730   1.000E-04   2.4459E-04   2.4459E-04   2.4376E-04 / 2.4376E-04   5.8367E-07 / 5.8367E-07   0.62% / 0.62%
740   1.000E-04   2.4347E-04   2.4347E-04   2.4327E-04 / 2.4327E-04   1.3849E-07 / 1.3849E-07   0.43% / 0.43%
750   1.000E-04   2.4338E-04   2.4338E-04   2.4329E-04 / 2.4329E-04   6.2457E-08 / 6.2457E-08   0.41% / 0.41%
760   1.000E-04   2.3986E-04   2.3986E-04   2.3984E-04 / 2.3984E-04   1.3833E-08 / 1.3833E-08   0.12% / 0.12%
770   1.000E-04   2.4189E-04   2.4189E-04   2.4159E-04 / 2.4159E-04   2.1243E-07 / 2.1243E-07   0.29% / 0.29%
780   1.000E-04   2.3311E-04   2.3311E-04   2.3300E-04 / 2.3300E-04   7.3580E-08 / 7.3580E-08   0.20% / 0.20%
790   1.000E-04   2.3232E-04   2.3232E-04   2.3229E-04 / 2.3229E-04   2.1440E-08 / 2.1440E-08   0.18% / 0.18%
800   1.000E-04   2.3043E-04   2.3043E-04   2.2994E-04 / 2.2994E-04   3.4523E-07 / 3.4523E-07   0.75% / 0.75%
810   1.000E-04   2.3452E-04   2.3452E-04   2.3434E-04 / 2.3434E-04   1.2332E-07 / 1.2332E-07   0.61% / 0.61%
820   1.000E-04   2.2748E-04   2.2748E-04   2.2709E-04 / 2.2709E-04   2.7604E-07 / 2.7604E-07   0.75% / 0.75%
830   1.000E-04   2.2705E-04   2.2705E-04   2.2703E-04 / 2.2703E-04   1.4400E-08 / 1.4400E-08   0.10% / 0.10%
840   1.000E-04   2.2413E-04   2.2413E-04   2.2395E-04 / 2.2395E-04   1.2632E-07 / 1.2632E-07   0.38% / 0.38%
850   1.000E-04   2.2311E-04   2.2311E-04   2.2296E-04 / 2.2296E-04   1.0581E-07 / 1.0581E-07   0.34% / 0.34%
860   1.000E-04   2.2056E-04   2.2056E-04   2.2054E-04 / 2.2054E-04   1.3109E-08 / 1.3109E-08   0.19% / 0.19%
870   1.000E-04   2.2452E-04   2.2452E-04   2.2447E-04 / 2.2447E-04   2.9616E-08 / 2.9616E-08   0.19% / 0.19%
880   1.000E-04   2.2758E-04   2.2758E-04   2.2745E-04 / 2.2745E-04   8.6367E-08 / 8.6367E-08   0.58% / 0.58%
890   1.000E-04   2.1805E-04   2.1805E-04   2.1786E-04 / 2.1786E-04   1.3677E-07 / 1.3677E-07   0.79% / 0.79%
900   1.000E-04   2.1483E-04   2.1483E-04   2.1469E-04 / 2.1469E-04   1.0072E-07 / 1.0072E-07   0.30% / 0.30%
910   1.000E-04   2.1262E-04   2.1262E-04   2.1260E-04 / 2.1260E-04   1.1776E-08 / 1.1776E-08   0.14% / 0.14%
920   1.000E-04   2.1459E-04   2.1459E-04   2.1432E-04 / 2.1432E-04   1.9308E-07 / 1.9308E-07   0.36% / 0.36%
930   1.000E-04   2.1194E-04   2.1194E-04   2.1193E-04 / 2.1193E-04   8.0520E-09 / 8.0520E-09   0.22% / 0.22%
940   1.000E-04   2.1220E-04   2.1220E-04   2.1218E-04 / 2.1218E-04   1.2207E-08 / 1.2207E-08   0.22% / 0.22%
950   1.000E-04   2.0749E-04   2.0749E-04   2.0741E-04 / 2.0741E-04   5.8106E-08 / 5.8106E-08   0.28% / 0.28%
960   1.000E-04   2.0761E-04   2.0761E-04   2.0710E-04 / 2.0710E-04   3.5633E-07 / 3.5633E-07   0.91% / 0.91%
970   1.000E-04   2.0614E-04   2.0614E-04   2.0576E-04 / 2.0576E-04   2.6786E-07 / 2.6786E-07   0.81% / 0.81%
980   1.000E-04   2.0303E-04   2.0303E-04   2.0296E-04 / 2.0296E-04   5.0511E-08 / 5.0511E-08   0.28% / 0.28%
990   1.000E-04   2.0356E-04   2.0356E-04   2.0352E-04 / 2.0352E-04   3.0986E-08 / 3.0986E-08   0.33% / 0.33%
