=====> WARNING: Training dataset length: 0, assuming memorization test!
========== Dataset info ==========
Dataset params: {'file': '/home/ryley/WDK/ML/dataset/turbulence_dataset_clean.csv', 'Cases': ['case_1p2'], 'val_set': ['case_1p2'], 'test_set': ['case_1p2'], 'data_loader': <class 'tbnn.dataloaders.aDataset'>}
Train/Valid/Test points: 14751 / 14751 / 14751
Memorization?: True
Cluster training?: False
EPOCH     LR        TRAIN         VALID             MSE:T/V                  RL:T/V             %NR_t/%NR_v
===============================================================================================================
  1   2.000E-04   2.0400E-01   2.0400E-01   2.0400E-01 / 2.0400E-01   1.1217E-06 / 1.1217E-06   0.18% / 0.18%
 10   2.000E-04   1.0321E-01   1.0321E-01   1.0321E-01 / 1.0321E-01   1.1712E-05 / 1.1712E-05   0.53% / 0.53%
 20   2.000E-04   9.3295E-02   9.3295E-02   9.3295E-02 / 9.3295E-02   5.8545E-03 / 5.8545E-03   29.26% / 29.26%
 30   2.000E-04   6.9729E-02   6.9729E-02   6.9729E-02 / 6.9729E-02   1.1262E-02 / 1.1262E-02   40.07% / 40.07%
 40   2.000E-04   4.9576E-02   4.9576E-02   4.9576E-02 / 4.9576E-02   5.1986E-02 / 5.1986E-02   40.35% / 40.35%
 50   2.000E-04   4.2798E-02   4.2798E-02   4.2798E-02 / 4.2798E-02   7.9062E-02 / 7.9062E-02   33.77% / 33.77%
 60   2.000E-04   3.9286E-02   3.9286E-02   3.9286E-02 / 3.9286E-02   7.7645E-02 / 7.7645E-02   32.95% / 32.95%
 70   2.000E-04   3.6996E-02   3.6996E-02   3.6996E-02 / 3.6996E-02   6.4185E-02 / 6.4185E-02   33.08% / 33.08%
 80   2.000E-04   3.4421E-02   3.4421E-02   3.4421E-02 / 3.4421E-02   6.0893E-02 / 6.0893E-02   33.90% / 33.90%
 90   2.000E-04   3.0214E-02   3.0214E-02   3.0214E-02 / 3.0214E-02   5.6601E-02 / 5.6601E-02   34.45% / 34.45%
100   2.000E-04   2.8160E-02   2.8160E-02   2.8160E-02 / 2.8160E-02   5.6127E-02 / 5.6127E-02   35.15% / 35.15%
110   2.000E-04   2.5868E-02   2.5868E-02   2.5868E-02 / 2.5868E-02   6.2764E-02 / 6.2764E-02   35.90% / 35.90%
120   2.000E-04   2.4016E-02   2.4016E-02   2.4016E-02 / 2.4016E-02   7.8452E-02 / 7.8452E-02   37.81% / 37.81%
130   2.000E-04   2.3888E-02   2.3888E-02   2.3888E-02 / 2.3888E-02   9.5301E-02 / 9.5301E-02   39.62% / 39.62%
140   2.000E-04   2.1921E-02   2.1921E-02   2.1921E-02 / 2.1921E-02   1.0248E-01 / 1.0248E-01   41.90% / 41.90%
150   2.000E-04   2.0379E-02   2.0379E-02   2.0379E-02 / 2.0379E-02   1.1458E-01 / 1.1458E-01   44.10% / 44.10%
160   2.000E-04   2.0209E-02   2.0209E-02   2.0209E-02 / 2.0209E-02   1.1702E-01 / 1.1702E-01   44.52% / 44.52%
170   2.000E-04   1.9379E-02   1.9379E-02   1.9379E-02 / 1.9379E-02   1.2567E-01 / 1.2567E-01   45.67% / 45.67%
180   2.000E-04   1.8607E-02   1.8607E-02   1.8607E-02 / 1.8607E-02   1.4044E-01 / 1.4044E-01   47.05% / 47.05%
190   2.000E-04   1.9737E-02   1.9737E-02   1.9737E-02 / 1.9737E-02   1.4245E-01 / 1.4245E-01   47.49% / 47.49%
200   2.000E-04   1.7801E-02   1.7801E-02   1.7801E-02 / 1.7801E-02   1.6103E-01 / 1.6103E-01   48.80% / 48.80%
210   2.000E-04   1.8685E-02   1.8685E-02   1.8685E-02 / 1.8685E-02   1.6193E-01 / 1.6193E-01   49.24% / 49.24%
220   2.000E-04   1.8572E-02   1.8572E-02   1.8572E-02 / 1.8572E-02   1.6739E-01 / 1.6739E-01   49.89% / 49.89%
230   2.000E-04   1.7557E-02   1.7557E-02   1.7557E-02 / 1.7557E-02   1.7325E-01 / 1.7325E-01   50.65% / 50.65%
240   2.000E-04   1.6593E-02   1.6593E-02   1.6593E-02 / 1.6593E-02   1.7401E-01 / 1.7401E-01   50.88% / 50.88%
250   2.000E-04   1.6312E-02   1.6312E-02   1.6312E-02 / 1.6312E-02   1.8532E-01 / 1.8532E-01   51.97% / 51.97%
260   2.000E-04   1.6131E-02   1.6131E-02   1.6131E-02 / 1.6131E-02   1.8581E-01 / 1.8581E-01   51.72% / 51.72%
270   2.000E-04   1.6302E-02   1.6302E-02   1.6302E-02 / 1.6302E-02   1.9923E-01 / 1.9923E-01   52.80% / 52.80%
280   2.000E-04   1.5667E-02   1.5667E-02   1.5667E-02 / 1.5667E-02   2.0516E-01 / 2.0516E-01   53.37% / 53.37%
